*Name: Litter
Type: Mainly leaf litter, 15% needle litter

Origin: Remote Sensing Laboratories, University of Zurich

Description: linear spectral mix of 85% leaf litter and 15% needle litter

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Fieldspec Pro

Wavelength [nm]	Reflectance [0 1]
370	0.027681
371	0.027772
372	0.02789
373	0.028022
374	0.028145
375	0.028279
376	0.028418
377	0.028557
378	0.028705
379	0.028848
380	0.028985
381	0.029128
382	0.029277
383	0.029449
384	0.029647
385	0.029846
386	0.030019
387	0.03019
388	0.030379
389	0.030552
390	0.030723
391	0.030892
392	0.03105
393	0.031217
394	0.031384
395	0.031544
396	0.031716
397	0.031872
398	0.032007
399	0.032136
400	0.032267
401	0.032395
402	0.032516
403	0.032635
404	0.032758
405	0.032893
406	0.033043
407	0.033189
408	0.033342
409	0.033507
410	0.033673
411	0.03384
412	0.034007
413	0.034173
414	0.034343
415	0.034513
416	0.034679
417	0.034847
418	0.035019
419	0.035191
420	0.035362
421	0.035537
422	0.035714
423	0.035892
424	0.03607
425	0.036251
426	0.036438
427	0.036629
428	0.036817
429	0.037006
430	0.037196
431	0.037386
432	0.037569
433	0.037744
434	0.037911
435	0.038076
436	0.038236
437	0.038393
438	0.038551
439	0.038707
440	0.038862
441	0.039023
442	0.039184
443	0.039344
444	0.039505
445	0.039668
446	0.039831
447	0.039994
448	0.040159
449	0.040326
450	0.040493
451	0.04066
452	0.040827
453	0.040998
454	0.041175
455	0.041354
456	0.041535
457	0.041717
458	0.041897
459	0.042079
460	0.042261
461	0.042444
462	0.042626
463	0.042808
464	0.042995
465	0.04319
466	0.043384
467	0.043577
468	0.043769
469	0.043961
470	0.044153
471	0.044346
472	0.044535
473	0.044726
474	0.044919
475	0.045108
476	0.0453
477	0.045493
478	0.045687
479	0.045883
480	0.046084
481	0.046292
482	0.046507
483	0.046726
484	0.046949
485	0.047178
486	0.04741
487	0.047639
488	0.047862
489	0.048085
490	0.048309
491	0.048535
492	0.048761
493	0.048987
494	0.049219
495	0.049462
496	0.049711
497	0.049967
498	0.050227
499	0.050492
500	0.050763
501	0.051038
502	0.051314
503	0.051591
504	0.05187
505	0.052151
506	0.052434
507	0.05272
508	0.053009
509	0.053305
510	0.053608
511	0.053918
512	0.054236
513	0.054561
514	0.054894
515	0.055234
516	0.055579
517	0.055924
518	0.056266
519	0.056604
520	0.056942
521	0.057283
522	0.057622
523	0.057964
524	0.058312
525	0.058668
526	0.059035
527	0.059407
528	0.059782
529	0.060163
530	0.060545
531	0.060932
532	0.061326
533	0.061727
534	0.062133
535	0.062541
536	0.06296
537	0.063388
538	0.063823
539	0.064261
540	0.064702
541	0.065147
542	0.065598
543	0.066048
544	0.0665
545	0.066954
546	0.067411
547	0.067872
548	0.068338
549	0.068808
550	0.069282
551	0.06976
552	0.070241
