*Name: Unvegetated Ground
Type: Gravel and bare soil

Origin: Remote Sensing Laboratories, University of Zurich

Description: linear spectral mix of 1/3 gravel and 2/3 bare soil

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Fieldspec Pro

Wavelength [nm]	Reflectance [0 1]
370	0.036254
371	0.03643
372	0.036602
373	0.036789
374	0.037018
375	0.03726
376	0.037508
377	0.037763
378	0.038025
379	0.038296
380	0.038577
381	0.03886
382	0.039142
383	0.039424
384	0.039717
385	0.040031
386	0.04036
387	0.040684
388	0.040998
389	0.04132
390	0.041649
391	0.041978
392	0.042295
393	0.042594
394	0.042899
395	0.043216
396	0.04352
397	0.043815
398	0.044097
399	0.044362
400	0.044627
401	0.044882
402	0.045122
403	0.045359
404	0.045597
405	0.04584
406	0.04609
407	0.046349
408	0.046613
409	0.046879
410	0.047149
411	0.047418
412	0.047692
413	0.047973
414	0.048246
415	0.048521
416	0.048805
417	0.049096
418	0.04939
419	0.049688
420	0.049991
421	0.050307
422	0.05063
423	0.050957
424	0.05129
425	0.051634
426	0.051991
427	0.052356
428	0.05273
429	0.053116
430	0.053514
431	0.05392
432	0.054328
433	0.054734
434	0.055139
435	0.055542
436	0.05594
437	0.056333
438	0.056722
439	0.057111
440	0.057499
441	0.057881
442	0.058261
443	0.058632
444	0.05899
445	0.059338
446	0.059675
447	0.060001
448	0.060315
449	0.060613
450	0.060896
451	0.061169
452	0.061433
453	0.061684
454	0.061921
455	0.062151
456	0.062371
457	0.062583
458	0.062787
459	0.06298
460	0.063167
461	0.06335
462	0.063526
463	0.0637
464	0.063874
465	0.064047
466	0.064221
467	0.064397
468	0.064573
469	0.064751
470	0.064932
471	0.065117
472	0.065303
473	0.065493
474	0.065686
475	0.06588
476	0.066079
477	0.066284
478	0.066499
479	0.06672
480	0.066947
481	0.067185
482	0.06744
483	0.067705
484	0.067978
485	0.06826
486	0.068553
487	0.068854
488	0.069159
489	0.069465
490	0.06978
491	0.070104
492	0.070433
493	0.070769
494	0.071113
495	0.071466
496	0.071828
497	0.072196
498	0.072572
499	0.072955
500	0.073345
501	0.07374
502	0.074139
503	0.074541
504	0.074945
505	0.075346
506	0.075748
507	0.076151
508	0.076556
509	0.076964
510	0.077375
511	0.077794
512	0.078218
513	0.078647
514	0.079081
515	0.07952
516	0.079963
517	0.080404
518	0.08084
519	0.081275
520	0.081711
521	0.082145
522	0.082577
523	0.083012
524	0.083453
525	0.083901
526	0.084351
527	0.084802
528	0.085256
529	0.085711
530	0.086169
531	0.086629
532	0.087087
