*Name: Bark Coniferous
Type: Pine bark and spruce bark

Origin: Remote Sensing Laboratories, University of Zurich

Description: linear spectral mix of 20% pine bark and 80% spruce bark

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Fieldspec Pro

Wavelength [nm]	Reflectance [0 1]
370	0.056589
371	0.056856
372	0.057136
373	0.057433
374	0.057739
375	0.058072
376	0.058409
377	0.058741
378	0.059089
379	0.059429
380	0.059762
381	0.060102
382	0.060431
383	0.060766
384	0.061111
385	0.061455
386	0.061821
387	0.062206
388	0.062595
389	0.062977
390	0.063343
391	0.063701
392	0.064062
393	0.064401
394	0.06472
395	0.065031
396	0.06535
397	0.065668
398	0.065972
399	0.066256
400	0.066515
401	0.066753
402	0.066973
403	0.067175
404	0.067369
405	0.067558
406	0.06775
407	0.067958
408	0.068182
409	0.068417
410	0.068656
411	0.068899
412	0.069146
413	0.069395
414	0.069641
415	0.069882
416	0.070123
417	0.070367
418	0.07062
419	0.070878
420	0.071137
421	0.071402
422	0.07167
423	0.071939
424	0.072209
425	0.072476
426	0.072742
427	0.073016
428	0.073296
429	0.07358
430	0.073868
431	0.074157
432	0.07445
433	0.074742
434	0.075025
435	0.075298
436	0.075566
437	0.075834
438	0.076103
439	0.076376
440	0.076656
441	0.076944
442	0.077241
443	0.077545
444	0.077852
445	0.078164
446	0.078479
447	0.078794
448	0.07911
449	0.079427
450	0.079744
451	0.080059
452	0.08037
453	0.080678
454	0.080984
455	0.081286
456	0.081581
457	0.081869
458	0.082152
459	0.082428
460	0.082695
461	0.082954
462	0.083208
463	0.083462
464	0.083717
465	0.083972
466	0.084229
467	0.084487
468	0.084745
469	0.085001
470	0.085253
471	0.085503
472	0.085754
473	0.086003
474	0.086248
475	0.086493
476	0.086739
477	0.086989
478	0.087243
479	0.087495
480	0.087754
481	0.088023
482	0.088302
483	0.088591
484	0.088891
485	0.089202
486	0.089527
487	0.089864
488	0.090207
489	0.090557
490	0.090916
491	0.091286
492	0.091669
493	0.092066
494	0.092478
495	0.092908
496	0.093365
