*Name: Ash bot
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.0089543	0.0097672	0.0050946
371	0.012318	0.013366	0.00742
372	0.015131	0.016447	0.0085433
373	0.018281	0.0197	0.010788
374	0.021621	0.023	0.013955
375	0.024733	0.025986	0.017407
376	0.026474	0.027691	0.01945
377	0.027621	0.028678	0.021638
378	0.027861	0.02859	0.02354
379	0.029866	0.030463	0.026436
380	0.03134	0.031936	0.028848
381	0.031291	0.032165	0.028163
382	0.030628	0.031834	0.026442
383	0.031176	0.032375	0.027742
384	0.031287	0.03267	0.028094
385	0.030597	0.032231	0.02668
386	0.029359	0.031187	0.024096
387	0.029299	0.031081	0.023989
388	0.029683	0.031363	0.024645
389	0.029861	0.031507	0.024884
390	0.02994	0.031589	0.02491
391	0.030824	0.032242	0.026206
392	0.031701	0.032794	0.027353
393	0.032699	0.033588	0.02883
394	0.03344	0.034283	0.030324
395	0.033731	0.034641	0.030959
396	0.034161	0.035178	0.031851
397	0.034992	0.035974	0.033543
398	0.035392	0.036403	0.034373
399	0.035521	0.036629	0.034763
400	0.035169	0.036439	0.034339
401	0.035019	0.036377	0.034254
402	0.034697	0.03612	0.033733
403	0.034287	0.035772	0.032971
404	0.034131	0.035609	0.032515
405	0.033838	0.035285	0.031828
406	0.033498	0.034949	0.031204
407	0.033791	0.035278	0.031806
408	0.033623	0.035161	0.031507
409	0.033388	0.035023	0.031148
410	0.033601	0.035321	0.031703
411	0.03379	0.035543	0.032256
412	0.034045	0.035846	0.03311
413	0.034357	0.036243	0.034151
414	0.034345	0.036368	0.034575
415	0.034444	0.036523	0.035025
416	0.034686	0.036737	0.035589
417	0.03476	0.036814	0.03586
418	0.03479	0.036881	0.036022
419	0.034839	0.03699	0.036268
420	0.034895	0.037081	0.036574
421	0.035174	0.03736	0.037169
422	0.035238	0.037472	0.037347
423	0.035226	0.037548	0.037451
424	0.035432	0.037795	0.037922
425	0.035525	0.03791	0.03821
426	0.035544	0.037952	0.038378
427	0.035636	0.038081	0.038635
428	0.035713	0.038222	0.038912
429	0.035803	0.038343	0.03919
430	0.035782	0.038316	0.039168
431	0.0356	0.038167	0.03891
432	0.03565	0.038241	0.039107
433	0.035826	0.038412	0.039538
434	0.035973	0.038531	0.039902
435	0.036076	0.038624	0.040128
436	0.03619	0.038754	0.04038
437	0.036363	0.038946	0.040714
438	0.036597	0.039179	0.041114
439	0.036743	0.039334	0.041411
440	0.036799	0.039422	0.041557
441	0.036828	0.039495	0.041675
442	0.036857	0.039576	0.041863
443	0.036909	0.039677	0.042098
444	0.036855	0.039658	0.042079
445	0.036804	0.039638	0.042127
446	0.036771	0.039629	0.042259
447	0.036825	0.039704	0.042548
448	0.036933	0.039839	0.042945
449	0.037043	0.039981	0.043349
450	0.03711	0.040098	0.04366
451	0.037196	0.040207	0.043981
452	0.037337	0.040364	0.044454
453	0.037545	0.040599	0.045057
454	0.0377	0.040782	0.045527
455	0.037759	0.040864	0.045843
456	0.037779	0.040916	0.046092
457	0.037907	0.041059	0.046477
458	0.037946	0.041122	0.046668
459	0.037937	0.041148	0.046792
460	0.037955	0.04119	0.046983
461	0.038005	0.041264	0.047186
462	0.038013	0.041288	0.047291
463	0.037993	0.041277	0.047338
464	0.037938	0.041232	0.047304
465	0.037932	0.041207	0.047342
466	0.037992	0.041244	0.04748
467	0.038126	0.041365	0.047765
468	0.038216	0.041439	0.047962
469	0.038274	0.041493	0.048098
470	0.038287	0.041523	0.048154
471	0.038418	0.04166	0.048393
472	0.03851	0.041773	0.048582
473	0.038542	0.041835	0.048697
474	0.03853	0.041847	0.048757
475	0.038503	0.041848	0.048765
476	0.03854	0.041903	0.048865
477	0.03857	0.041936	0.048978
478	0.038565	0.041931	0.049049
479	0.038555	0.041917	0.049121
480	0.038587	0.04196	0.049274
481	0.038657	0.042045	0.049521
482	0.038714	0.042111	0.049726
483	0.038757	0.042162	0.049883
484	0.038785	0.042216	0.050014
485	0.038884	0.04233	0.050253
486	0.038971	0.042412	0.050453
487	0.039031	0.042482	0.050637
488	0.03908	0.042545	0.050799
489	0.039173	0.042651	0.051012
490	0.039349	0.042845	0.051394
491	0.039449	0.04296	0.05168
492	0.039496	0.043023	0.051888
493	0.039551	0.043108	0.052141
494	0.039659	0.04326	0.05249
495	0.039804	0.043445	0.052904
496	0.039984	0.043672	0.053384
497	0.040178	0.043903	0.053902
498	0.040386	0.044152	0.054468
499	0.040618	0.044419	0.055081
500	0.040868	0.044684	0.055723
501	0.041142	0.044991	0.056458
502	0.041425	0.045311	0.057236
503	0.041785	0.045706	0.058189
504	0.04222	0.04618	0.059339
505	0.042638	0.046625	0.060488
506	0.043052	0.047062	0.061679
507	0.043519	0.047553	0.063014
508	0.044042	0.048099	0.064467
509	0.044614	0.048706	0.066037
510	0.045205	0.049326	0.067671
511	0.045811	0.049947	0.069381
512	0.046464	0.050623	0.071225
513	0.047189	0.051366	0.073229
514	0.047952	0.052141	0.075329
515	0.048747	0.052957	0.077526
516	0.049588	0.053816	0.079834
517	0.050559	0.054797	0.0824
518	0.051592	0.055836	0.085104
519	0.052625	0.056874	0.087833
520	0.053704	0.057947	0.090644
521	0.054845	0.059074	0.093551
522	0.056026	0.060246	0.096515
523	0.05722	0.061425	0.099478
524	0.058422	0.0626	0.10243
525	0.059647	0.063796	0.1054
526	0.060874	0.06499	0.10833
527	0.062089	0.066161	0.1112
528	0.063262	0.06729	0.11393
529	0.064416	0.0684	0.11658
530	0.06553	0.069468	0.1191
531	0.066624	0.070523	0.12156
532	0.067651	0.07152	0.12385
533	0.068588	0.072433	0.12594
534	0.069487	0.073309	0.12792
535	0.070309	0.074121	0.12974
536	0.071013	0.074824	0.13134
537	0.071626	0.075438	0.13275
538	0.072175	0.076001	0.13403
539	0.072635	0.076486	0.13513
540	0.073014	0.076887	0.13606
541	0.073337	0.077225	0.13687
542	0.073637	0.077544	0.13763
543	0.07392	0.077846	0.13835
544	0.074182	0.078129	0.13903
545	0.074467	0.078438	0.13973
546	0.074741	0.078743	0.14041
547	0.075011	0.079044	0.14109
548	0.075281	0.079348	0.14176
549	0.075556	0.079659	0.14244
