*Name: Ash mid
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.018221	0.019281	-0.00024566
371	0.024691	0.025937	-2.3973e-06
372	0.03009	0.031352	-0.0023222
373	0.035217	0.036592	-0.0031353
374	0.039782	0.041251	-0.0026606
375	0.043261	0.044737	-0.001543
376	0.044528	0.046107	-0.0011668
377	0.044181	0.045817	0.00026802
378	0.041741	0.043286	0.0024167
379	0.042509	0.044102	0.00435
380	0.043578	0.045499	0.0070601
381	0.043628	0.045889	0.0077621
382	0.043476	0.045793	0.0071113
383	0.044563	0.046555	0.007992
384	0.045362	0.047274	0.0089752
385	0.045233	0.047015	0.0075493
386	0.044329	0.045815	0.0042828
387	0.044515	0.045826	0.0042558
388	0.045006	0.04612	0.0046798
389	0.045191	0.046209	0.0044094
390	0.045331	0.046401	0.004121
391	0.045994	0.047028	0.0052447
392	0.046341	0.047261	0.0062166
393	0.046831	0.04766	0.007409
394	0.047499	0.048413	0.0090283
395	0.047863	0.048883	0.009787
396	0.048246	0.049374	0.010671
397	0.048702	0.049956	0.012216
398	0.048837	0.050221	0.013071
399	0.048883	0.050346	0.013705
400	0.048595	0.05008	0.013615
401	0.048547	0.05007	0.01376
402	0.048352	0.049962	0.013524
403	0.048099	0.049794	0.01292
404	0.048141	0.049844	0.012982
405	0.04796	0.049637	0.012996
406	0.047839	0.049501	0.013074
407	0.048379	0.050112	0.014133
408	0.048489	0.050338	0.014299
409	0.048521	0.050497	0.014465
410	0.04886	0.050965	0.015465
411	0.049168	0.051339	0.016425
412	0.049595	0.05179	0.017542
413	0.050033	0.052237	0.018679
414	0.050026	0.05228	0.018966
415	0.050009	0.052339	0.019415
416	0.050094	0.0525	0.020059
417	0.049986	0.052435	0.020309
418	0.049893	0.052375	0.020779
419	0.049947	0.052452	0.021489
420	0.050054	0.052591	0.022299
421	0.05025	0.052833	0.023339
422	0.050325	0.052943	0.024024
423	0.050425	0.053076	0.024656
424	0.050675	0.053365	0.025491
425	0.050853	0.053562	0.026163
426	0.050959	0.053688	0.026756
427	0.05109	0.053829	0.027257
428	0.051196	0.053971	0.027655
429	0.051332	0.054161	0.028126
430	0.051339	0.054235	0.028339
431	0.051136	0.054075	0.028232
432	0.051141	0.054108	0.028539
433	0.051207	0.054202	0.02901
434	0.051291	0.054305	0.02943
435	0.051369	0.054391	0.02972
436	0.051467	0.054502	0.030067
437	0.051612	0.054691	0.030521
438	0.051802	0.054922	0.03104
439	0.051985	0.055136	0.031546
440	0.052105	0.055278	0.031949
441	0.052159	0.055349	0.032166
442	0.052172	0.055397	0.032481
443	0.052185	0.055444	0.032905
444	0.052091	0.0554	0.033074
445	0.05203	0.055373	0.033318
446	0.052006	0.055373	0.033635
447	0.052033	0.055403	0.034058
448	0.052173	0.055533	0.034621
449	0.052285	0.055648	0.035182
450	0.052365	0.055732	0.035658
451	0.052517	0.05591	0.036149
452	0.052791	0.056201	0.03681
453	0.053108	0.056523	0.0376
454	0.053306	0.056741	0.03823
455	0.053381	0.056858	0.038672
456	0.053455	0.056968	0.039104
457	0.053599	0.057156	0.039652
458	0.053689	0.057297	0.040029
459	0.053774	0.057408	0.040378
460	0.053908	0.057547	0.040734
461	0.053961	0.057594	0.041033
462	0.053915	0.057554	0.041205
463	0.053858	0.057503	0.041293
464	0.053772	0.057407	0.041294
465	0.053745	0.057379	0.041371
466	0.05379	0.057423	0.04156
467	0.053838	0.057477	0.041852
468	0.053852	0.057502	0.042021
469	0.053869	0.057526	0.042129
470	0.053832	0.057506	0.042187
471	0.053848	0.057559	0.042355
472	0.05389	0.057626	0.042525
473	0.053963	0.057714	0.042663
474	0.053991	0.057761	0.042723
475	0.053941	0.057733	0.042757
476	0.053959	0.057767	0.042887
477	0.053994	0.057809	0.043009
478	0.053975	0.057791	0.043109
479	0.053959	0.05778	0.043246
480	0.053947	0.057774	0.043422
481	0.053941	0.057784	0.043639
482	0.053964	0.057821	0.043809
483	0.053974	0.05784	0.043936
484	0.053968	0.057858	0.044078
485	0.054047	0.057958	0.044325
486	0.054137	0.058052	0.044571
487	0.054218	0.058135	0.044838
488	0.054255	0.05818	0.045103
489	0.054351	0.058287	0.045441
490	0.054561	0.0585	0.045948
491	0.054702	0.058646	0.046366
492	0.054788	0.058746	0.046745
493	0.054896	0.058878	0.047193
494	0.055048	0.059059	0.047702
495	0.055273	0.059319	0.048314
496	0.055524	0.059601	0.049041
497	0.055813	0.059911	0.049823
498	0.056136	0.060254	0.050681
499	0.056457	0.060586	0.051602
500	0.056832	0.06096	0.052601
501	0.057258	0.061393	0.053731
502	0.057714	0.06186	0.054948
503	0.058245	0.062401	0.056323
504	0.05888	0.063043	0.057902
505	0.059523	0.063698	0.059532
506	0.060189	0.064376	0.061277
507	0.060954	0.065164	0.063237
508	0.061798	0.066028	0.065362
509	0.062708	0.066946	0.067662
510	0.063639	0.067887	0.070099
511	0.064626	0.068887	0.072657
512	0.065659	0.069932	0.075392
513	0.066779	0.071053	0.078278
514	0.068015	0.07229	0.081334
515	0.069312	0.073594	0.084558
516	0.070686	0.074973	0.087932
517	0.072208	0.076499	0.091553
518	0.073851	0.078144	0.095352
519	0.075547	0.079836	0.099215
520	0.077326	0.081602	0.10325
521	0.079216	0.083475	0.10743
522	0.081177	0.085403	0.11168
523	0.083156	0.087342	0.11592
524	0.085121	0.089273	0.12015
525	0.087098	0.091212	0.12438
526	0.089079	0.093155	0.12853
527	0.09103	0.09507	0.13254
528	0.092912	0.096929	0.13641
529	0.094737	0.098734	0.14013
530	0.096482	0.10046	0.14365
531	0.098154	0.10211	0.147
532	0.09971	0.10364	0.1501
533	0.10113	0.10506	0.15293
534	0.10245	0.10639	0.15562
535	0.10366	0.10759	0.15805
536	0.10471	0.10864	0.16019
537	0.10563	0.10956	0.16209
538	0.10645	0.11039	0.1638
539	0.10715	0.11112	0.16528
540	0.10775	0.11175	0.16655
541	0.10825	0.11229	0.16764
542	0.10869	0.11277	0.16864
543	0.10909	0.11322	0.16956
544	0.10945	0.11362	0.17041
545	0.10981	0.11403	0.17125
546	0.11016	0.11442	0.17209
547	0.11051	0.11482	0.17293
