*Name: Ash top
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.033969	0.035557	0.0021875
371	0.04514	0.047133	0.0024881
372	0.056004	0.058591	0.00058578
373	0.065019	0.067965	-0.00014171
374	0.072503	0.075718	-2.1697e-06
375	0.078118	0.081559	0.00027409
376	0.079102	0.082291	-0.0012716
377	0.076792	0.079555	-0.0017535
378	0.07024	0.072529	-0.0014982
379	0.068057	0.070458	-0.0020818
380	0.068112	0.070311	-7.9533e-05
381	0.066289	0.068499	0.00031767
382	0.063652	0.066016	-4.0335e-05
383	0.064046	0.06626	0.00072021
384	0.062875	0.065073	0.002326
385	0.061137	0.063602	0.0027686
386	0.060193	0.063028	0.0022118
387	0.058787	0.061623	0.004543
388	0.058244	0.061112	0.0067639
389	0.058243	0.061183	0.0072858
390	0.057159	0.059851	0.0072952
391	0.057403	0.060003	0.0084884
392	0.057401	0.060002	0.0083252
393	0.05611	0.058763	0.0074065
394	0.056223	0.058717	0.0074348
395	0.055854	0.058258	0.0072161
396	0.054856	0.057171	0.0067952
397	0.055312	0.057533	0.0067418
398	0.054952	0.057249	0.0068407
399	0.054248	0.056619	0.0071483
400	0.054019	0.056368	0.0069332
401	0.053179	0.055402	0.0069895
402	0.052425	0.054582	0.0066251
403	0.052474	0.054652	0.0060525
404	0.052185	0.054212	0.0061539
405	0.051884	0.053699	0.0054622
406	0.051572	0.053221	0.0046957
407	0.050964	0.052529	0.0049647
408	0.050621	0.052089	0.0047517
409	0.050225	0.051543	0.0044746
410	0.049752	0.050889	0.0048213
411	0.049919	0.050982	0.0055663
412	0.050085	0.051057	0.0064859
413	0.050116	0.050981	0.0075432
414	0.050226	0.05102	0.0078792
415	0.05018	0.050909	0.0084682
416	0.050312	0.050977	0.0093764
417	0.05076	0.051349	0.010164
418	0.050853	0.051292	0.010774
419	0.051028	0.051321	0.011427
420	0.051491	0.051642	0.012056
421	0.051735	0.051727	0.01248
422	0.051856	0.05167	0.012749
423	0.052147	0.05176	0.013333
424	0.052426	0.051849	0.01414
425	0.052769	0.051998	0.014714
426	0.053132	0.052155	0.01531
427	0.05333	0.052147	0.01606
428	0.053573	0.05221	0.016644
429	0.053837	0.052313	0.017344
430	0.053917	0.052225	0.018044
431	0.054025	0.052172	0.018663
432	0.054294	0.052299	0.019529
433	0.054595	0.052482	0.020424
434	0.05505	0.052813	0.021298
435	0.055307	0.052963	0.022017
436	0.055565	0.05312	0.02279
437	0.055952	0.053423	0.023598
438	0.056195	0.05361	0.024236
439	0.05643	0.053783	0.024828
440	0.05672	0.05401	0.025264
441	0.056786	0.054003	0.025536
442	0.056875	0.054009	0.025746
443	0.057047	0.054074	0.025946
444	0.056999	0.053925	0.026055
445	0.057075	0.053921	0.026209
446	0.057251	0.054031	0.026376
447	0.057311	0.054017	0.0267
448	0.057541	0.054147	0.02729
449	0.057785	0.054282	0.02792
450	0.057898	0.054298	0.02845
451	0.058118	0.054429	0.029008
452	0.058442	0.054668	0.029742
453	0.058791	0.054931	0.030468
454	0.059168	0.055234	0.031084
455	0.059317	0.055291	0.031574
456	0.059356	0.055228	0.031981
457	0.059638	0.055422	0.032525
458	0.059743	0.055479	0.032954
459	0.059814	0.055506	0.033231
460	0.059986	0.055625	0.033457
461	0.05997	0.055555	0.033714
462	0.05998	0.055534	0.033939
463	0.060073	0.055622	0.034156
464	0.06	0.055553	0.034257
465	0.060022	0.055579	0.034389
466	0.06012	0.055693	0.03452
467	0.060162	0.055745	0.034752
468	0.060233	0.055833	0.034991
469	0.060254	0.055866	0.035092
470	0.060138	0.055745	0.035061
471	0.060281	0.055876	0.035208
472	0.060359	0.05593	0.035328
473	0.06036	0.05588	0.035398
474	0.060423	0.055912	0.035424
475	0.060406	0.055892	0.035503
476	0.060437	0.055931	0.03576
477	0.060556	0.056062	0.035981
478	0.060528	0.056026	0.036104
479	0.060503	0.055988	0.036232
480	0.060578	0.056062	0.036399
481	0.060588	0.056065	0.036639
482	0.060599	0.056079	0.036761
483	0.060644	0.056128	0.036767
484	0.060598	0.056062	0.036806
485	0.060692	0.056125	0.037002
486	0.060815	0.056213	0.037174
487	0.060821	0.056179	0.03735
488	0.060856	0.056195	0.037536
489	0.060976	0.056282	0.037841
490	0.061152	0.056417	0.038368
491	0.061358	0.056568	0.038767
492	0.061533	0.05666	0.039127
493	0.061686	0.056713	0.039531
494	0.061946	0.056874	0.039992
495	0.062223	0.057045	0.04055
496	0.062525	0.057242	0.041214
497	0.062958	0.057553	0.041881
498	0.063389	0.05784	0.042608
499	0.063829	0.058131	0.043355
500	0.064331	0.058484	0.044147
501	0.064802	0.058794	0.045076
502	0.065322	0.059138	0.046092
503	0.065991	0.059606	0.047297
504	0.066712	0.060117	0.048719
505	0.067478	0.060652	0.050134
506	0.068301	0.061223	0.051569
507	0.069138	0.061788	0.053101
508	0.070089	0.062445	0.05477
509	0.071158	0.063205	0.056647
510	0.072227	0.063955	0.058628
511	0.073417	0.064808	0.06067
512	0.074704	0.06575	0.062873
513	0.076004	0.066704	0.06525
514	0.077408	0.067766	0.067757
515	0.078867	0.068887	0.070383
516	0.080365	0.070037	0.073218
517	0.082068	0.071386	0.076324
518	0.083861	0.072835	0.079592
519	0.08567	0.074307	0.082908
520	0.087582	0.075892	0.086275
521	0.089535	0.077523	0.08972
522	0.091528	0.079208	0.093276
523	0.093605	0.080997	0.096892
524	0.095639	0.082771	0.10049
525	0.097696	0.084592	0.10411
526	0.099755	0.086436	0.10772
527	0.10169	0.088191	0.11121
528	0.10358	0.089928	0.11454
529	0.10543	0.091654	0.11777
530	0.10715	0.093265	0.1209
531	0.10883	0.094863	0.12388
532	0.11042	0.096393	0.12665
533	0.11185	0.097764	0.12921
534	0.11322	0.099092	0.13161
535	0.11448	0.10033	0.13381
536	0.11555	0.1014	0.13576
537	0.11656	0.10244	0.13751
538	0.11747	0.10339	0.13913
539	0.11823	0.10419	0.1406
540	0.11889	0.10492	0.14191
541	0.11947	0.10557	0.14307
542	0.11998	0.10616	0.14415
543	0.12048	0.10675	0.14518
544	0.12093	0.10727	0.14615
545	0.12136	0.10779	0.14713
546	0.12183	0.10834	0.14809
547	0.12226	0.10885	0.14905
548	0.12268	0.10936	0.15
549	0.12314	0.1099	0.1509
550	0.12352	0.11037	0.15169
551	0.12388	0.11082	0.15243
552	0.1242	0.11123	0.15308
553	0.1244	0.1115	0.1536
554	0.12453	0.11171	0.15399
555	0.12461	0.11186	0.15427
556	0.12456	0.11188	0.15437
557	0.12439	0.11178	0.15429
558	0.12414	0.1116	0.15408
559	0.12376	0.11127	0.15369
560	0.12328	0.11084	0.1531
561	0.12271	0.11032	0.15239
562	0.12202	0.10969	0.15157
563	0.12131	0.10901	0.1506
564	0.1205	0.10825	0.14948
565	0.11957	0.10736	0.14821
566	0.11862	0.10642	0.14682
567	0.11758	0.10541	0.14531
568	0.11645	0.10432	0.14367
569	0.1153	0.1032	0.14191
570	0.11407	0.10201	0.14002
571	0.1128	0.10077	0.13805
572	0.11152	0.099528	0.136
573	0.1102	0.098241	0.13388
574	0.10889	0.096968	0.13177
575	0.10764	0.09576	0.12972
576	0.10642	0.094582	0.12773
577	0.10527	0.093481	0.12582
578	0.10418	0.092446	0.12398
579	0.1031	0.091417	0.12222
580	0.1021	0.09047	0.12058
581	0.10119	0.089623	0.11907
582	0.10028	0.088769	0.11761
583	0.099437	0.087982	0.11623
584	0.098672	0.08728	0.11494
585	0.097913	0.086583	0.11375
586	0.097219	0.085944	0.11263
587	0.096588	0.085365	0.11161
588	0.095942	0.084768	0.11063
589	0.095395	0.084263	0.10975
590	0.094929	0.083843	0.109
591	0.09449	0.083455	0.10836
592	0.094114	0.083128	0.10777
593	0.09377	0.082831	0.10726
594	0.093468	0.082568	0.10684
595	0.093249	0.082386	0.10648
596	0.09301	0.082184	0.10612
597	0.092793	0.082003	0.10578
598	0.092638	0.081887	0.10544
599	0.09245	0.081734	0.10512
600	0.092255	0.081575	0.1048
601	0.092058	0.081409	0.10448
602	0.091784	0.08116	0.10409
603	0.091534	0.080939	0.1037
604	0.09129	0.080739	0.10328
605	0.090973	0.080473	0.10282
606	0.090636	0.080182	0.1023
607	0.090263	0.079854	0.10169
608	0.089828	0.079469	0.10099
609	0.089389	0.079085	0.10023
610	0.088942	0.078689	0.099414
611	0.088417	0.078218	0.098498
612	0.087885	0.077751	0.097504
613	0.087332	0.077267	0.096494
614	0.086743	0.076751	0.095509
615	0.086167	0.076246	0.09452
616	0.085586	0.075736	0.093503
617	0.085	0.075234	0.092496
618	0.084439	0.074763	0.091495
619	0.083872	0.07428	0.090547
620	0.083321	0.07381	0.089669
621	0.082827	0.073396	0.088799
622	0.082384	0.073029	0.088004
623	0.082012	0.072726	0.087343
624	0.081715	0.072486	0.086773
625	0.081418	0.072246	0.086258
626	0.081178	0.07206	0.085844
627	0.081024	0.071939	0.085523
628	0.080877	0.07182	0.085299
629	0.080756	0.071728	0.085126
630	0.080704	0.071706	0.085018
631	0.080642	0.071672	0.084956
632	0.080561	0.071614	0.084874
633	0.08046	0.071539	0.084754
634	0.080312	0.071425	0.084591
635	0.080144	0.071299	0.084321
636	0.079948	0.071153	0.083992
637	0.079681	0.070946	0.083573
638	0.079378	0.070712	0.083027
639	0.079031	0.070443	0.082383
640	0.078567	0.070068	0.081606
641	0.078076	0.069667	0.080719
642	0.077535	0.069238	0.079753
643	0.07695	0.068782	0.078703
644	0.076395	0.068362	0.077603
645	0.075786	0.067892	0.076442
646	0.075117	0.06737	0.075209
647	0.074471	0.066872	0.073963
648	0.073832	0.066384	0.07275
649	0.073211	0.065915	0.071577
650	0.07265	0.065497	0.070453
651	0.072103	0.065082	0.069383
652	0.071602	0.064698	0.068401
653	0.071205	0.064406	0.067546
654	0.070789	0.064088	0.066734
655	0.070428	0.063814	0.065969
656	0.070134	0.063608	0.065265
657	0.069806	0.063365	0.06452
