*Name: Beech bot
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.0058003	0.0045949	-0.004772
371	0.0088983	0.0074102	-0.0051909
372	0.011352	0.0098974	-0.0063948
373	0.014267	0.012672	-0.0053834
374	0.017336	0.015476	-0.0034403
375	0.020081	0.017956	-0.0015521
376	0.021578	0.019447	0.00032465
377	0.022484	0.02058	0.0040323
378	0.022547	0.021049	0.0086156
379	0.022817	0.021398	0.0084603
380	0.023271	0.022067	0.0099389
381	0.0227	0.021546	0.0093074
382	0.022119	0.020845	0.007875
383	0.022565	0.021174	0.0067729
384	0.022775	0.021457	0.0054052
385	0.022354	0.021366	0.003034
386	0.021545	0.020765	-3.8172e-05
387	0.022137	0.021207	6.5666e-05
388	0.022969	0.021861	0.00026505
389	0.0233	0.022059	-0.00015589
390	0.023237	0.022147	0.00117
391	0.023618	0.022714	0.0039544
392	0.023903	0.023144	0.005544
393	0.024424	0.02382	0.0064335
394	0.025339	0.024918	0.0079128
395	0.026038	0.025706	0.0090844
396	0.026459	0.026121	0.0099884
397	0.026715	0.026484	0.010278
398	0.027002	0.026951	0.010425
399	0.027429	0.027407	0.010531
400	0.027628	0.027489	0.0098811
401	0.027863	0.027721	0.0097103
402	0.027653	0.027485	0.0090379
403	0.027273	0.026999	0.0084135
404	0.026885	0.026545	0.0083941
405	0.026345	0.025909	0.0075269
406	0.025888	0.025404	0.0065601
407	0.026105	0.025695	0.0068693
408	0.025988	0.025696	0.0063682
409	0.025656	0.025484	0.0056211
410	0.025703	0.025603	0.0057612
411	0.025987	0.025973	0.0062172
412	0.026448	0.026451	0.0069343
413	0.026982	0.026978	0.0077444
414	0.027084	0.027164	0.0077432
415	0.027058	0.02723	0.0076726
416	0.027109	0.027352	0.0078085
417	0.027116	0.027378	0.0079686
418	0.02695	0.027224	0.0077879
419	0.026859	0.027162	0.0077743
420	0.026888	0.027211	0.0079814
421	0.027056	0.027405	0.0082821
422	0.026996	0.02736	0.0081858
423	0.027004	0.027349	0.008234
424	0.027275	0.027572	0.0087568
425	0.027402	0.027645	0.0089822
426	0.027489	0.027665	0.0090565
427	0.027551	0.027701	0.009166
428	0.027572	0.027712	0.0091164
429	0.027636	0.027782	0.0090473
430	0.027628	0.027818	0.0089083
431	0.027477	0.027721	0.0086922
432	0.027527	0.027829	0.0088954
433	0.027696	0.028058	0.0093928
434	0.027873	0.028246	0.0098224
435	0.027995	0.028371	0.010093
436	0.028178	0.02855	0.010477
437	0.028404	0.028782	0.010971
438	0.028615	0.029004	0.011412
439	0.028815	0.029189	0.011738
440	0.028911	0.029246	0.011815
441	0.028864	0.029185	0.011659
442	0.028838	0.02913	0.011393
443	0.028851	0.02911	0.011163
444	0.028737	0.028973	0.010908
445	0.028601	0.02881	0.010716
446	0.028509	0.028705	0.010636
447	0.02846	0.02868	0.010778
