*Name: Beech mid
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.0056537	0.0056807	-6.6504e-06
371	0.0085191	0.0085364	-0.00021664
372	0.010316	0.010222	-0.0020508
373	0.012959	0.012606	-0.0022756
374	0.015698	0.015042	-0.0014781
375	0.017876	0.016972	-0.0004396
376	0.019483	0.0185	-0.00028375
377	0.020672	0.019656	0.00075604
378	0.021064	0.020061	0.0023108
379	0.02122	0.020445	0.0031673
380	0.021671	0.021104	0.0067841
381	0.02161	0.021129	0.0073223
382	0.021564	0.02115	0.0064385
383	0.022077	0.02186	0.0069222
384	0.022426	0.022475	0.0070537
385	0.021976	0.022209	0.0056505
386	0.021088	0.021181	0.0034548
387	0.021901	0.021779	0.0038624
388	0.022615	0.022377	0.0043733
389	0.022933	0.022698	0.004269
390	0.023582	0.023376	0.0041646
391	0.024304	0.02411	0.0048933
392	0.024662	0.024545	0.0048944
393	0.025365	0.025191	0.0053681
394	0.026168	0.025827	0.0069878
395	0.026617	0.026113	0.0080721
396	0.026823	0.026212	0.0086175
397	0.026923	0.026283	0.0088092
398	0.027017	0.026416	0.0086325
399	0.027172	0.026584	0.0085087
400	0.027101	0.026448	0.0078644
401	0.027155	0.026617	0.0071457
402	0.027016	0.02666	0.0061751
403	0.026697	0.026477	0.0053353
404	0.026409	0.026269	0.0047069
405	0.025896	0.025873	0.0035822
406	0.025551	0.025579	0.0027479
407	0.025987	0.025887	0.0033839
408	0.02596	0.025766	0.0033248
409	0.025754	0.025485	0.0030203
410	0.025843	0.025566	0.0033095
411	0.026078	0.025803	0.0037814
412	0.026421	0.026171	0.0044986
413	0.026907	0.026725	0.0052215
414	0.027084	0.026996	0.0051891
415	0.027283	0.027289	0.0051989
416	0.027504	0.027558	0.0054823
417	0.027506	0.027572	0.0054728
418	0.027399	0.027472	0.0052635
419	0.027388	0.027446	0.0052402
420	0.027489	0.027519	0.0053853
421	0.027665	0.027644	0.0054379
422	0.027656	0.027578	0.0051762
423	0.027642	0.027554	0.0052117
424	0.02782	0.027762	0.0056542
425	0.027916	0.027861	0.0058653
426	0.027998	0.027949	0.0058826
427	0.028252	0.028223	0.0058902
428	0.02843	0.028406	0.0059532
429	0.028599	0.028561	0.0061711
430	0.028659	0.028612	0.0062535
431	0.02857	0.028545	0.005987
432	0.028646	0.028634	0.0061248
433	0.028843	0.028832	0.0064635
434	0.029022	0.029019	0.006752
435	0.029158	0.029155	0.0068697
436	0.029358	0.029359	0.0071999
437	0.029522	0.029536	0.007721
438	0.029686	0.029697	0.0081745
439	0.029788	0.029809	0.0085306
440	0.029819	0.029854	0.0086697
441	0.029851	0.029886	0.0086139
442	0.029842	0.029858	0.0085484
443	0.029811	0.029806	0.0085844
444	0.029672	0.029666	0.0084431
445	0.029536	0.029525	0.0082952
446	0.029459	0.029426	0.0081527
447	0.029471	0.029426	0.0080871
448	0.02954	0.029487	0.008139
449	0.029658	0.029585	0.0082486
450	0.029758	0.029666	0.0083239
451	0.029802	0.029703	0.0084368
452	0.029954	0.029869	0.0087996
453	0.030161	0.030093	0.0092465
454	0.030299	0.030255	0.0094356
455	0.030344	0.030323	0.0094179
456	0.030366	0.03037	0.0094423
