*Name: Beech top
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.0084047	0.0064931	-0.0058336
371	0.011861	0.00956	-0.0065043
372	0.013884	0.011309	-0.0095846
373	0.016476	0.013653	-0.010664
374	0.01902	0.015972	-0.010816
375	0.020937	0.017721	-0.010853
376	0.022192	0.019004	-0.0099214
377	0.022773	0.019888	-0.0076186
378	0.022361	0.019987	-0.004433
379	0.022488	0.020177	-0.0042186
380	0.022829	0.020843	-0.0030739
381	0.02302	0.020957	-0.0032235
382	0.023421	0.021128	-0.0034379
383	0.024202	0.022012	-0.0022398
384	0.024734	0.022786	-0.0011228
385	0.024277	0.022583	-0.0018191
386	0.023048	0.021628	-0.0039365
387	0.02354	0.022336	-0.0027592
388	0.024091	0.023077	-0.0017426
389	0.024395	0.023591	-0.0012012
390	0.025042	0.024474	0.00014545
391	0.025762	0.025403	0.0015015
392	0.026267	0.025972	0.0020856
393	0.027083	0.026723	0.0028915
394	0.027769	0.027389	0.0039064
395	0.028199	0.027664	0.004273
396	0.028485	0.027815	0.0042969
397	0.028644	0.027875	0.0042868
398	0.028815	0.027915	0.0044078
399	0.028969	0.027987	0.0046785
400	0.028755	0.027778	0.0044305
401	0.028788	0.027815	0.0045302
402	0.02872	0.027754	0.0043742
403	0.028535	0.027594	0.0039257
404	0.028367	0.027454	0.0034196
405	0.027983	0.027139	0.0026025
406	0.027694	0.026941	0.0019922
407	0.028077	0.027357	0.0025482
408	0.028093	0.027282	0.0022993
409	0.027943	0.027095	0.0017673
410	0.028095	0.027354	0.00198
411	0.028348	0.027675	0.0024675
412	0.028663	0.028049	0.0031572
413	0.029087	0.028552	0.0040987
414	0.029179	0.028714	0.0044425
415	0.029331	0.028889	0.0047988
416	0.029543	0.029074	0.0051721
417	0.029573	0.029128	0.0051678
418	0.029473	0.029085	0.0049786
419	0.029443	0.029119	0.0049295
420	0.02954	0.029268	0.0051389
421	0.029742	0.029465	0.0054939
422	0.029753	0.029457	0.0054513
423	0.029764	0.029476	0.0054247
424	0.029992	0.029687	0.0058507
425	0.030103	0.029747	0.0060359
426	0.030176	0.029802	0.0061564
427	0.030437	0.03006	0.0065937
428	0.030618	0.030233	0.0069293
429	0.030787	0.030369	0.0072508
430	0.030858	0.030406	0.0073932
431	0.030799	0.030369	0.0073097
432	0.030892	0.030483	0.007531
433	0.031109	0.030709	0.0079702
434	0.031315	0.030925	0.0084555
435	0.031458	0.031082	0.0087893
436	0.031641	0.031309	0.0091641
437	0.03178	0.031507	0.0094792
438	0.031916	0.031674	0.0097939
439	0.031999	0.031798	0.0099921
440	0.032033	0.031857	0.010017
441	0.032065	0.031883	0.0099984
442	0.032029	0.031856	0.0099116
443	0.031985	0.031846	0.0098634
444	0.03185	0.031748	0.0096645
445	0.031734	0.031648	0.0094827
446	0.031682	0.031583	0.0093755
447	0.031723	0.031596	0.0094176
