*Name: Elm bot
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.019033	0.019323	0.0055692
371	0.025918	0.026459	0.0070039
372	0.031548	0.032263	0.0062271
373	0.037907	0.03874	0.0079697
374	0.044055	0.045005	0.011279
375	0.048916	0.049995	0.014766
376	0.051095	0.052238	0.016065
377	0.051707	0.052784	0.017959
378	0.050208	0.051085	0.020023
379	0.051796	0.052101	0.023054
380	0.053014	0.053403	0.025951
381	0.053524	0.053516	0.0268
382	0.053617	0.05324	0.026624
383	0.05365	0.053225	0.026431
384	0.054032	0.053429	0.026751
385	0.05363	0.052848	0.025565
386	0.052668	0.051713	0.023454
387	0.053717	0.052505	0.025363
388	0.05461	0.053241	0.027244
389	0.054555	0.053277	0.027549
390	0.054515	0.053201	0.027552
391	0.055449	0.054057	0.029401
392	0.05602	0.054608	0.030593
393	0.056369	0.054999	0.031363
394	0.056716	0.055416	0.032131
395	0.056939	0.055746	0.032662
396	0.057165	0.056062	0.033254
397	0.057279	0.056145	0.033654
398	0.057287	0.056266	0.033995
399	0.057325	0.05647	0.034417
400	0.056878	0.056095	0.033767
401	0.056565	0.055751	0.033127
402	0.056019	0.055287	0.032024
403	0.055354	0.05478	0.030743
404	0.055204	0.054614	0.030219
405	0.054847	0.054288	0.029442
406	0.054668	0.054165	0.029176
407	0.054987	0.054515	0.02967
408	0.054815	0.054344	0.028956
409	0.05448	0.053995	0.02788
410	0.054514	0.053974	0.027583
411	0.054647	0.054107	0.027659
412	0.054867	0.054375	0.028
413	0.055041	0.054563	0.028233
414	0.054709	0.05422	0.027411
415	0.05457	0.054071	0.026873
416	0.054625	0.054095	0.026664
417	0.054543	0.053959	0.026218
418	0.054423	0.053811	0.025718
419	0.054431	0.053815	0.025596
420	0.054503	0.05389	0.025704
421	0.054396	0.053772	0.025324
422	0.054144	0.053496	0.024657
423	0.053961	0.053302	0.024196
424	0.054057	0.053377	0.024287
425	0.054036	0.05339	0.024261
426	0.053926	0.053305	0.024125
427	0.053861	0.053237	0.024057
428	0.05379	0.053172	0.02393
429	0.053772	0.053145	0.023845
430	0.053673	0.053046	0.023584
431	0.053458	0.052846	0.023133
432	0.053421	0.052847	0.023066
433	0.053488	0.052949	0.02322
434	0.053553	0.053009	0.023319
435	0.053593	0.053012	0.023286
436	0.053692	0.05309	0.023381
437	0.053819	0.053227	0.023627
438	0.05399	0.053394	0.023955
439	0.054124	0.053505	0.024251
440	0.054173	0.053518	0.024464
441	0.054167	0.053489	0.02456
442	0.054112	0.053414	0.02453
443	0.054035	0.05334	0.02448
444	0.053876	0.053205	0.024287
445	0.053791	0.053145	0.024258
446	0.053763	0.053142	0.024365
447	0.053784	0.053178	0.024569
448	0.053828	0.053232	0.024812
449	0.053894	0.05332	0.025134
450	0.053991	0.053432	0.025555
451	0.054122	0.053576	0.026096
452	0.054376	0.053836	0.026853
453	0.054701	0.054154	0.02772
454	0.054947	0.05439	0.028445
455	0.055075	0.054515	0.028909
456	0.055137	0.054577	0.029257
457	0.055314	0.054746	0.029763
458	0.055431	0.054845	0.03011
459	0.055482	0.054886	0.030343
460	0.055535	0.054918	0.030542
461	0.055514	0.054888	0.0306
462	0.055412	0.054796	0.030527
463	0.055335	0.054723	0.030503
464	0.055279	0.05467	0.030521
465	0.055247	0.054661	0.030589
466	0.055227	0.054663	0.030656
467	0.055288	0.054739	0.030836
468	0.055302	0.054759	0.03091
469	0.055254	0.054709	0.030862
470	0.055174	0.054634	0.030756
471	0.055243	0.054705	0.030872
472	0.055287	0.054752	0.030963
473	0.055303	0.054756	0.031001
474	0.055305	0.054745	0.031002
475	0.05527	0.054719	0.030974
476	0.055304	0.054759	0.031089
477	0.055397	0.054849	0.031321
478	0.055418	0.05488	0.031468
479	0.055367	0.054837	0.031521
480	0.055316	0.054785	0.03158
481	0.055342	0.054807	0.03177
482	0.055336	0.054794	0.031878
483	0.05527	0.054717	0.031839
484	0.05524	0.054679	0.031879
485	0.055317	0.054745	0.032103
486	0.055413	0.054833	0.032343
487	0.055487	0.054914	0.032566
488	0.055544	0.054989	0.032791
489	0.055643	0.055092	0.033111
490	0.055887	0.055326	0.033662
491	0.056115	0.055539	0.034215
492	0.056271	0.055684	0.034717
493	0.056404	0.055826	0.035269
494	0.056594	0.056017	0.035956
495	0.056838	0.056256	0.036769
496	0.057094	0.056508	0.03764
497	0.057363	0.056768	0.038584
498	0.057716	0.057111	0.039768
499	0.05812	0.057517	0.041107
500	0.058528	0.05795	0.042549
501	0.058952	0.058413	0.044159
502	0.059406	0.058897	0.04595
503	0.059988	0.059497	0.048055
504	0.060706	0.060238	0.050496
505	0.061416	0.060976	0.053096
506	0.062142	0.061736	0.055909
507	0.062969	0.062595	0.05907
508	0.063901	0.063532	0.062577
509	0.064897	0.064539	0.066405
510	0.065938	0.065595	0.070493
511	0.067065	0.066731	0.074916
512	0.068293	0.067969	0.079701
513	0.069642	0.069345	0.084856
514	0.071054	0.070793	0.090298
515	0.072541	0.072312	0.096026
516	0.074139	0.073944	0.10207
517	0.075932	0.075775	0.10852
518	0.077827	0.077718	0.11521
519	0.079749	0.079694	0.12202
520	0.081765	0.081754	0.12897
521	0.083895	0.083919	0.13607
522	0.08608	0.086141	0.14323
523	0.088255	0.088356	0.15029
524	0.090437	0.090566	0.15721
525	0.092641	0.09279	0.164
526	0.094809	0.09497	0.17057
