*Name: Elm mid
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.016909	0.017307	-0.0026486
371	0.023386	0.023649	-0.0029152
372	0.02881	0.028993	-0.0049111
373	0.034699	0.034862	-0.0043375
374	0.04024	0.040458	-0.0023462
375	0.044558	0.044865	-0.00016588
376	0.046669	0.046831	0.00095656
377	0.047482	0.04746	0.0036983
378	0.046337	0.04619	0.0075804
379	0.047586	0.047643	0.010613
380	0.048829	0.048961	0.0135
381	0.049402	0.049472	0.014235
382	0.049469	0.049414	0.013574
383	0.049226	0.049256	0.012866
384	0.04963	0.049533	0.013368
385	0.049455	0.049172	0.012581
386	0.048655	0.048323	0.010796
387	0.04934	0.049106	0.012526
388	0.04992	0.049786	0.013838
389	0.049981	0.049712	0.013648
390	0.050211	0.049681	0.013993
391	0.051256	0.050697	0.016195
392	0.051869	0.051463	0.017672
393	0.052276	0.052001	0.018758
394	0.052965	0.052606	0.020128
395	0.053513	0.053063	0.021158
396	0.054044	0.053633	0.022285
397	0.05421	0.054027	0.02307
398	0.05441	0.054295	0.023562
399	0.054742	0.05464	0.024099
400	0.054466	0.054421	0.023463
401	0.054176	0.0542	0.022614
402	0.053755	0.053709	0.021195
403	0.053294	0.053068	0.019754
404	0.053028	0.052745	0.019014
405	0.052527	0.052254	0.017806
406	0.052211	0.051982	0.017044
407	0.052483	0.052227	0.01758
408	0.052342	0.052059	0.01727
409	0.052134	0.051864	0.016798
410	0.052283	0.052078	0.017174
411	0.052453	0.052309	0.017664
412	0.052819	0.05272	0.018434
413	0.053174	0.053088	0.019005
414	0.05297	0.052896	0.018453
415	0.052943	0.052884	0.018181
416	0.053064	0.052998	0.01821
417	0.05304	0.052922	0.018179
418	0.052906	0.052734	0.01781
419	0.052878	0.052699	0.017682
420	0.052931	0.052802	0.017897
421	0.052876	0.052768	0.017931
422	0.05265	0.052555	0.017554
423	0.052489	0.052413	0.017315
424	0.052555	0.052518	0.017596
425	0.052595	0.052579	0.017778
426	0.052571	0.052551	0.017809
427	0.052581	0.052536	0.017809
428	0.052601	0.052563	0.017879
429	0.052659	0.052625	0.018004
430	0.052601	0.052547	0.017896
431	0.052462	0.052364	0.017712
432	0.052478	0.052369	0.017798
433	0.052558	0.052487	0.018015
434	0.052599	0.052569	0.018241
435	0.052582	0.05256	0.018307
436	0.052624	0.052603	0.018465
437	0.052728	0.052724	0.018772
438	0.052885	0.052912	0.019141
439	0.053034	0.053079	0.019489
440	0.053093	0.053141	0.019649
441	0.053112	0.053138	0.019667
442	0.053091	0.053098	0.019634
443	0.053046	0.053046	0.019577
