*Name: Elm top
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.013775	0.013663	-0.0012126
371	0.019075	0.018961	-0.0013349
372	0.023252	0.023099	-0.0033559
373	0.028154	0.028073	-0.0031636
374	0.03303	0.032952	-0.0018919
375	0.036995	0.036773	-0.00071243
376	0.038815	0.038525	-0.00082285
377	0.039731	0.039381	0.00056987
378	0.039209	0.038787	0.0030431
379	0.040668	0.040026	0.0048672
380	0.041597	0.041033	0.0066834
381	0.042102	0.041579	0.0069782
382	0.042198	0.041641	0.0060134
383	0.042017	0.041431	0.0045094
384	0.042349	0.041769	0.0044468
385	0.041973	0.041435	0.0033383
386	0.041002	0.040583	0.0012953
387	0.041819	0.041423	0.0028071
388	0.042591	0.041991	0.0039966
389	0.042696	0.041909	0.0037223
390	0.042783	0.041997	0.0036581
391	0.043881	0.043121	0.0055583
392	0.044625	0.043923	0.0069798
393	0.045126	0.044422	0.0080548
394	0.045834	0.045178	0.0092725
395	0.046396	0.045735	0.0099369
396	0.04701	0.046312	0.010568
397	0.047457	0.046679	0.011015
398	0.047871	0.047013	0.011488
399	0.048376	0.047446	0.012091
400	0.048238	0.047362	0.01179
401	0.048129	0.047181	0.01149
402	0.047831	0.046878	0.010592
403	0.047363	0.046585	0.0094755
404	0.047128	0.046533	0.00886
405	0.046678	0.046286	0.0080233
406	0.046401	0.046216	0.0076557
407	0.046711	0.046594	0.0083921
408	0.0466	0.046489	0.0081575
409	0.046455	0.046281	0.0078395
410	0.046759	0.046539	0.0083739
411	0.047197	0.046833	0.0092076
412	0.047841	0.047308	0.010262
413	0.048415	0.047791	0.011111
414	0.048371	0.047806	0.011083
415	0.048525	0.04799	0.011283
416	0.048793	0.048295	0.011698
417	0.048871	0.048471	0.012018
418	0.048887	0.048552	0.012053
419	0.049016	0.048774	0.012273
420	0.049216	0.04912	0.012723
421	0.049302	0.049263	0.013019
422	0.049214	0.04915	0.012992
423	0.049217	0.049104	0.013098
424	0.049485	0.049353	0.013603
425	0.049724	0.049529	0.014053
426	0.049864	0.049621	0.014353
427	0.04998	0.049726	0.014622
428	0.050093	0.049841	0.014977
429	0.05022	0.049979	0.01535
430	0.050221	0.050002	0.015445
431	0.050149	0.049968	0.015468
432	0.050256	0.050103	0.015771
433	0.050456	0.050347	0.01619
434	0.050635	0.050574	0.0166
435	0.050743	0.050702	0.016876
436	0.050903	0.050883	0.01726
437	0.051156	0.051132	0.017764
438	0.051444	0.051405	0.018346
439	0.051685	0.051648	0.018903
440	0.051819	0.051783	0.019251
441	0.05188	0.051865	0.019472
442	0.051886	0.051911	0.019627
443	0.051872	0.051932	0.019715
444	0.051767	0.051851	0.019583
445	0.051768	0.051857	0.019622
446	0.051858	0.051945	0.019787
447	0.051977	0.052074	0.019988
448	0.052139	0.052227	0.020313
449	0.052325	0.052416	0.02071
450	0.052541	0.052639	0.021123
451	0.052813	0.052896	0.021598
452	0.053186	0.053261	0.022323
