*Name: Leaf mid
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.012407	0.012794	0.00065041
371	0.017195	0.017604	0.00061142
372	0.021016	0.021345	-0.00096418
373	0.025287	0.025472	-0.0010084
374	0.029306	0.029312	-0.00012716
375	0.032385	0.032209	0.00092017
376	0.034091	0.033839	0.0011497
377	0.03476	0.03445	0.0022463
378	0.033881	0.033504	0.0037961
379	0.034262	0.033977	0.0048485
380	0.034657	0.034535	0.0071068
381	0.034657	0.034648	0.0074279
382	0.03466	0.034718	0.0068548
383	0.035115	0.035254	0.007284
384	0.035264	0.035547	0.0072846
385	0.034727	0.035086	0.0059259
386	0.033859	0.034074	0.0038561
387	0.034522	0.034616	0.0044782
388	0.035164	0.035188	0.0051651
389	0.035316	0.035321	0.0049733
390	0.035853	0.035899	0.0051467
391	0.036708	0.036773	0.0062628
392	0.037118	0.037203	0.006595
393	0.037655	0.037664	0.0071037
394	0.038346	0.038237	0.0083508
395	0.038748	0.038533	0.0090642
396	0.03899	0.038723	0.0094913
397	0.039114	0.038877	0.0097944
398	0.039236	0.039067	0.0098844
399	0.039491	0.039362	0.010085
400	0.039445	0.039285	0.0095865
401	0.039502	0.03944	0.0091089
402	0.039287	0.039353	0.0081905
403	0.038919	0.039064	0.0072311
404	0.038843	0.039031	0.0068559
405	0.038461	0.038699	0.0059234
406	0.038134	0.038391	0.0051006
407	0.038556	0.038731	0.0056091
408	0.038561	0.038675	0.0053955
409	0.03841	0.038491	0.0050024
410	0.038558	0.038655	0.0052598
411	0.038833	0.038958	0.0057429
412	0.039287	0.039449	0.0065396
413	0.039837	0.040052	0.0073482
414	0.03998	0.040251	0.0073063
415	0.040175	0.040511	0.007366
416	0.040456	0.040825	0.0076863
417	0.040577	0.040937	0.0077822
418	0.040628	0.040965	0.0077276
419	0.040763	0.041076	0.007836
420	0.040958	0.041254	0.0080794
421	0.041214	0.041476	0.0083241
422	0.041273	0.041508	0.0082343
423	0.041334	0.041572	0.0083115
424	0.041562	0.041819	0.0087062
425	0.041708	0.04197	0.0089298
426	0.041818	0.042087	0.0090256
427	0.042048	0.042325	0.0091511
428	0.042252	0.042529	0.0093152
429	0.042461	0.042728	0.0095861
430	0.042558	0.042814	0.0096948
431	0.042505	0.042762	0.0095425
432	0.04262	0.04288	0.0097633
433	0.042825	0.043084	0.010153
434	0.043001	0.043262	0.010491
435	0.043136	0.043395	0.010685
436	0.043324	0.043585	0.01102
437	0.043504	0.043774	0.011488
438	0.043675	0.043947	0.011896
439	0.043816	0.04409	0.01224
440	0.043892	0.04417	0.01242
441	0.043952	0.044223	0.012462
442	0.043965	0.044228	0.012491
443	0.043961	0.044222	0.012578
444	0.043855	0.044125	0.012479
445	0.043774	0.044049	0.012426
446	0.043747	0.044015	0.012425
