*Name: Linden bot
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.017747	0.0174	0.00032877
371	0.024568	0.02393	0.00066975
372	0.030184	0.029431	-0.0004244
373	0.035713	0.034925	-0.00074797
374	0.040502	0.039706	-0.0007926
375	0.043913	0.043122	-0.00095767
376	0.045536	0.044796	-0.0010678
377	0.045574	0.045013	-0.00045791
378	0.0435	0.043223	0.00060957
379	0.043597	0.043575	0.00066746
380	0.043416	0.043487	0.00038105
381	0.043318	0.043451	0.00035055
382	0.043612	0.043877	0.00090798
383	0.044671	0.045034	0.0021308
384	0.045225	0.045405	0.0023693
385	0.044908	0.044972	0.0014174
386	0.044043	0.044113	-0.00016181
387	0.044557	0.044568	0.00030489
388	0.045034	0.044938	0.00070729
389	0.044918	0.044693	0.0003321
390	0.045381	0.045193	0.0010442
391	0.046312	0.046221	0.0023902
392	0.046976	0.046901	0.0033266
393	0.047696	0.047643	0.0043278
394	0.048268	0.048217	0.0050666
395	0.048493	0.048487	0.005301
396	0.048646	0.048736	0.0053812
397	0.048837	0.048957	0.0053305
398	0.04906	0.049202	0.0053584
399	0.049495	0.049596	0.0056439
400	0.049615	0.049668	0.0053781
401	0.049956	0.049963	0.0053926
402	0.049978	0.049922	0.004956
403	0.049793	0.049714	0.0042566
404	0.050154	0.050095	0.0043825
405	0.050206	0.050072	0.0040931
406	0.050104	0.049919	0.0036768
407	0.050536	0.050428	0.0040154
408	0.050532	0.05046	0.0037104
409	0.050372	0.050315	0.0032102
410	0.050516	0.050543	0.0031591
411	0.050787	0.050889	0.0033277
412	0.051296	0.051422	0.0038124
413	0.051925	0.052027	0.0044434
414	0.052119	0.052236	0.004486
415	0.052427	0.052537	0.004731
416	0.052822	0.052919	0.0050752
417	0.053076	0.053155	0.0051913
418	0.053301	0.053321	0.0052756
419	0.053541	0.053536	0.0054875
420	0.053729	0.05375	0.005708
421	0.054002	0.054042	0.0060361
422	0.054049	0.054075	0.0060651
423	0.054053	0.054081	0.0060405
424	0.054169	0.054235	0.0061113
425	0.054192	0.054268	0.0060688
426	0.054196	0.054256	0.0060437
427	0.054374	0.054403	0.0063163
428	0.054544	0.054572	0.0066197
429	0.054687	0.054727	0.0068503
430	0.054725	0.054786	0.006864
431	0.054681	0.054749	0.0067517
432	0.054823	0.054895	0.0069374
433	0.055022	0.055099	0.00725
434	0.055177	0.055252	0.0074864
