*Name: Linden mid
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.018348	0.018995	0.00021439
371	0.024521	0.025525	0.00048896
372	0.02999	0.031283	-0.00018522
373	0.035571	0.037145	-0.00025339
374	0.040504	0.042315	-0.00016526
375	0.044067	0.046041	-0.00026313
376	0.045696	0.047782	-0.00041314
377	0.045839	0.047948	-3.7558e-05
378	0.043856	0.045795	0.00063827
379	0.044083	0.045802	0.00055784
380	0.044075	0.045344	0.00035404
381	0.04422	0.045208	6.3215e-05
382	0.044546	0.04534	7.2683e-05
383	0.044926	0.045514	0.00087026
384	0.044352	0.04488	0.00098953
385	0.043302	0.043799	0.00033061
386	0.042396	0.042775	-0.00069986
387	0.042881	0.043272	-0.00023891
388	0.043307	0.043821	9.7032e-05
389	0.043031	0.043777	-0.00021952
390	0.043613	0.044619	0.00040408
391	0.044801	0.045995	0.0014554
392	0.045431	0.046653	0.0020124
393	0.045963	0.047076	0.0026898
394	0.046686	0.047774	0.0033103
395	0.047179	0.048207	0.0034826
396	0.047486	0.048417	0.0035153
397	0.047598	0.048405	0.0035544
398	0.047726	0.048468	0.0035975
399	0.048075	0.048788	0.0037829
400	0.048367	0.048914	0.0036275
401	0.048739	0.049209	0.0036455
402	0.048563	0.049053	0.003271
403	0.048096	0.048694	0.0027378
404	0.048431	0.049059	0.0029188
405	0.048291	0.048921	0.0026367
406	0.047976	0.048634	0.0022122
407	0.048409	0.049041	0.0025139
408	0.048472	0.049084	0.0023132
409	0.048308	0.048965	0.001993
410	0.048416	0.049087	0.002046
411	0.048698	0.049377	0.0022742
412	0.04923	0.049945	0.0027398
413	0.049882	0.050603	0.0033097
414	0.050293	0.050926	0.0034594
415	0.050705	0.051295	0.0036491
416	0.051182	0.051758	0.0038744
417	0.051509	0.052063	0.0040186
418	0.051894	0.052371	0.004143
419	0.052337	0.052771	0.0043214
420	0.052724	0.053124	0.0045069
421	0.053134	0.053477	0.0047608
422	0.053262	0.053616	0.0048001
423	0.05339	0.053748	0.0048338
424	0.053627	0.05396	0.0049519
425	0.053758	0.054094	0.0049943
426	0.053862	0.054193	0.0050329
427	0.054091	0.054411	0.0052219
428	0.05438	0.054695	0.0053991
429	0.05467	0.054967	0.005526
430	0.054853	0.05515	0.0055153
431	0.054837	0.055128	0.0054732
432	0.054984	0.055272	0.0056367
433	0.0552	0.055458	0.0058775
434	0.055376	0.055599	0.0061174
435	0.05552	0.05574	0.0063106
436	0.055711	0.055935	0.0065251
437	0.055898	0.056125	0.0067316
438	0.055997	0.056265	0.0068636
439	0.056124	0.056415	0.0069835
440	0.056252	0.056554	0.0071109
441	0.056364	0.056672	0.0072414
442	0.056411	0.056716	0.0073161
443	0.056464	0.056783	0.0073858
444	0.056433	0.056788	0.0073387
445	0.056392	0.056741	0.0073319
446	0.056395	0.056701	0.0073832
447	0.056454	0.05673	0.0075009
448	0.05658	0.056854	0.0077136
449	0.056702	0.05697	0.0079242
450	0.056772	0.057038	0.0080937
451	0.056854	0.057107	0.0082778
452	0.057074	0.057306	0.0085714
453	0.057368	0.057585	0.008925
454	0.057552	0.057763	0.0092171
455	0.057627	0.057838	0.0094025
456	0.057694	0.057926	0.009572
457	0.057843	0.058098	0.0098117
458	0.057906	0.058179	0.0099412
459	0.05793	0.058209	0.010022
460	0.057948	0.05822	0.010097
461	0.057919	0.058218	0.010146
462	0.057859	0.058176	0.010162
463	0.057825	0.058135	0.010181
464	0.057739	0.058041	0.010155
465	0.057709	0.057995	0.010157
466	0.057762	0.058029	0.010194
467	0.057915	0.058156	0.010333
468	0.058007	0.058222	0.010462
469	0.058043	0.058251	0.010568
470	0.058031	0.058256	0.010652
471	0.058069	0.058311	0.010814
472	0.058084	0.058347	0.010953
473	0.058093	0.058373	0.011058
474	0.058059	0.058351	0.011102
475	0.058013	0.058333	0.011155
476	0.058043	0.058382	0.011309
477	0.0581	0.058444	0.011451
478	0.058074	0.058423	0.011483
479	0.058042	0.058392	0.011457
480	0.058068	0.058416	0.011483
481	0.05811	0.058448	0.011567
482	0.058064	0.058401	0.011596
483	0.057959	0.058306	0.011584
484	0.057894	0.058267	0.011605
485	0.057928	0.058326	0.011702
486	0.057989	0.058403	0.011778
487	0.058078	0.058499	0.011867
488	0.058133	0.058558	0.011939
489	0.058217	0.058644	0.012083
490	0.058455	0.058864	0.012417
491	0.058634	0.059026	0.012672
492	0.058719	0.059097	0.012837
493	0.058808	0.059174	0.013037
494	0.058946	0.059303	0.013311
495	0.059093	0.059443	0.013615
496	0.059255	0.059602	0.013973
497	0.05943	0.059779	0.014339
498	0.059662	0.060021	0.014739
499	0.059933	0.060306	0.015154
500	0.060233	0.060623	0.015631
501	0.060568	0.060982	0.016193
502	0.060899	0.061343	0.016777
503	0.061309	0.061779	0.017478
504	0.06185	0.062331	0.01835
505	0.062337	0.062845	0.019207
506	0.062808	0.063357	0.020088
507	0.06338	0.063964	0.021095
508	0.064025	0.064643	0.022206
509	0.064723	0.065382	0.023457
510	0.065449	0.066145	0.024783
511	0.066218	0.066945	0.026166
512	0.067081	0.067839	0.027676
513	0.068059	0.068841	0.029355
514	0.069098	0.069906	0.031173
515	0.070175	0.071014	0.033072
516	0.071343	0.072208	0.035105
517	0.072663	0.073551	0.037351
518	0.074068	0.074979	0.03973
519	0.075482	0.076418	0.042146
520	0.076971	0.07794	0.044661
521	0.078562	0.079562	0.047293
522	0.080201	0.081239	0.05
523	0.081862	0.082937	0.052745
524	0.083537	0.084634	0.055463
525	0.085234	0.086349	0.058187
526	0.086926	0.088059	0.060888
527	0.088598	0.089739	0.063538
528	0.090209	0.091358	0.066079
529	0.091772	0.092932	0.068521
530	0.0933	0.094464	0.07088
531	0.094769	0.095942	0.073141
532	0.09613	0.097312	0.075237
533	0.097385	0.098571	0.077162
534	0.098601	0.099791	0.078988
535	0.099712	0.10091	0.08065
536	0.10069	0.10188	0.082118
537	0.10157	0.10275	0.083434
538	0.10234	0.10351	0.084617
539	0.103	0.10416	0.085652
540	0.10355	0.10471	0.086548
541	0.10403	0.10518	0.087342
542	0.10449	0.10562	0.088088
543	0.1049	0.10603	0.088778
544	0.10529	0.10642	0.089441
545	0.10568	0.10682	0.090107
546	0.10605	0.1072	0.090753
547	0.10643	0.10758	0.091392
548	0.10681	0.10795	0.092016
549	0.10719	0.10832	0.092631
550	0.10755	0.10867	0.093216
551	0.1079	0.10901	0.093773
552	0.10819	0.1093	0.094269
553	0.10839	0.1095	0.094664
554	0.10853	0.10963	0.094959
555	0.1086	0.10968	0.095169
556	0.10857	0.10965	0.095265
557	0.10842	0.1095	0.095202
558	0.10818	0.10926	0.095016
559	0.10783	0.1089	0.094681
560	0.10735	0.10841	0.094172
561	0.10678	0.10783	0.093534
562	0.10614	0.10718	0.092787
563	0.10544	0.10647	0.091943
564	0.10467	0.10569	0.090987
565	0.10381	0.10483	0.089893
566	0.10287	0.10389	0.088686
567	0.10187	0.10287	0.087374
568	0.1008	0.1018	0.085955
569	0.099681	0.10067	0.084455
570	0.098509	0.099491	0.08287
571	0.097309	0.098281	0.08123
572	0.096087	0.097047	0.079542
573	0.094843	0.095789	0.077821
574	0.09362	0.094556	0.076119
575	0.092444	0.093371	0.074472
576	0.091331	0.092249	0.072896
577	0.090292	0.091201	0.071396
578	0.089298	0.090198	0.069957
579	0.088332	0.089225	0.068567
580	0.087429	0.088307	0.067273
581	0.086623	0.087481	0.066092
582	0.085855	0.086699	0.064956
583	0.085125	0.085957	0.063883
584	0.084439	0.085262	0.062882
585	0.083797	0.08461	0.061953
586	0.083199	0.084003	0.061088
587	0.082652	0.083453	0.060296
588	0.082116	0.082916	0.059529
589	0.081631	0.082435	0.058834
590	0.081216	0.082026	0.058223
591	0.080854	0.081673	0.057682
592	0.08051	0.081334	0.057191
593	0.080194	0.08102	0.056757
594	0.079936	0.080762	0.056399
595	0.079736	0.080558	0.056116
