*Name: Linden top
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.015984	0.016762	0.0015893
371	0.021588	0.022272	0.0018247
372	0.026494	0.027043	0.0013119
373	0.031599	0.03196	0.001472
374	0.036182	0.036313	0.0019774
375	0.039557	0.039442	0.00244
376	0.041223	0.040977	0.0023414
377	0.041682	0.041233	0.0027987
378	0.040231	0.039503	0.0035003
379	0.040387	0.039734	0.0035124
380	0.040267	0.039821	0.0035858
381	0.040345	0.040112	0.0036665
382	0.040594	0.040439	0.0037011
383	0.040953	0.040762	0.0039413
384	0.040571	0.04034	0.0034257
385	0.039743	0.039406	0.002302
386	0.038894	0.038432	0.0011191
387	0.039456	0.03879	0.0015536
388	0.039956	0.039144	0.0020419
389	0.039719	0.038977	0.0017783
390	0.040361	0.039809	0.0020574
391	0.041545	0.041059	0.0030885
392	0.042005	0.041558	0.0035388
393	0.042311	0.041973	0.0037316
394	0.043083	0.042819	0.0043822
395	0.043607	0.043428	0.0047069
396	0.043903	0.043788	0.004712
397	0.044049	0.044087	0.0046612
398	0.044301	0.044395	0.0046141
399	0.044766	0.044886	0.004793
400	0.04504	0.045186	0.0048404
401	0.045404	0.045536	0.0050105
402	0.045204	0.045386	0.0046134
403	0.044751	0.04501	0.0038759
404	0.045083	0.045354	0.0038249
405	0.044884	0.045134	0.0033572
406	0.044528	0.04475	0.0027659
407	0.04496	0.04518	0.0028232
408	0.045028	0.045275	0.0025671
409	0.044914	0.045168	0.0021284
410	0.045093	0.045304	0.0019403
411	0.045464	0.045687	0.0019963
412	0.046086	0.046368	0.0023672
413	0.046793	0.047172	0.0028582
414	0.047225	0.047657	0.0030754
415	0.047671	0.048115	0.0033301
416	0.048209	0.048641	0.0036769
417	0.048625	0.049038	0.0039335
418	0.049047	0.049476	0.0042442
419	0.049547	0.049979	0.0046217
420	0.050036	0.050424	0.0049719
421	0.050546	0.05089	0.0052965
422	0.050802	0.051133	0.0054052
423	0.051058	0.05139	0.0055801
424	0.051434	0.051745	0.0058581
425	0.051712	0.052011	0.0060528
426	0.051947	0.052258	0.0062276
427	0.052293	0.052611	0.0065139
428	0.052694	0.053005	0.0068792
429	0.05307	0.053403	0.0072365
430	0.053334	0.053709	0.0074898
431	0.053403	0.053826	0.0075606
432	0.053647	0.054085	0.0077618
433	0.053959	0.054362	0.0080082
434	0.054238	0.054601	0.008244
435	0.054469	0.054833	0.0084418
436	0.054741	0.055116	0.0086982
437	0.055013	0.055399	0.008978
438	0.055225	0.055604	0.0091595
439	0.055454	0.055827	0.009368
440	0.05568	0.056063	0.0096014
441	0.055881	0.056261	0.0098118
442	0.055988	0.056381	0.0099498
443	0.056081	0.056493	0.010088
444	0.05612	0.056546	0.010171
445	0.056152	0.056581	0.010242
446	0.056207	0.056619	0.01034
447	0.056336	0.056726	0.010508
448	0.056536	0.056935	0.010775
449	0.056725	0.057133	0.011044
450	0.056867	0.057284	0.011269
451	0.057006	0.057439	0.01152
452	0.057264	0.057706	0.011909
453	0.057593	0.058041	0.012375
454	0.057829	0.058309	0.012767
455	0.057951	0.058466	0.013045
456	0.058057	0.05861	0.013301
457	0.058237	0.058822	0.013629
458	0.058351	0.058961	0.013864
459	0.058416	0.059043	0.014016
460	0.058488	0.059118	0.014141
461	0.058552	0.059167	0.014238
462	0.05857	0.059154	0.014296
463	0.058581	0.05914	0.014353
464	0.058539	0.059076	0.014352
465	0.05854	0.059056	0.014399
466	0.058622	0.059117	0.014511
467	0.058795	0.059273	0.014736
468	0.058913	0.059387	0.014916
469	0.058976	0.059448	0.015031
470	0.058997	0.059489	0.015106
471	0.059058	0.059575	0.015228
472	0.059093	0.059638	0.015308
473	0.059134	0.0597	0.015379
474	0.059141	0.059724	0.015425
475	0.059137	0.059727	0.015472
476	0.059204	0.059796	0.015579
477	0.059285	0.059888	0.015704
478	0.059296	0.059904	0.015756
479	0.059305	0.059912	0.015801
480	0.059358	0.059972	0.015901
481	0.059413	0.060043	0.016038
482	0.059393	0.060031	0.016084
483	0.05933	0.05997	0.016071
484	0.059309	0.059977	0.016121
485	0.059373	0.060064	0.016265
486	0.05946	0.060159	0.016427
487	0.059584	0.060275	0.016624
488	0.059673	0.060359	0.016785
489	0.059799	0.060477	0.016962
490	0.060081	0.060744	0.017306
491	0.0603	0.060963	0.01762
492	0.060429	0.061097	0.01786
493	0.060569	0.061235	0.018116
494	0.060761	0.06144	0.018436
495	0.060977	0.061672	0.018794
496	0.061224	0.061921	0.019198
497	0.061498	0.06219	0.019639
498	0.061831	0.062538	0.020174
499	0.0622	0.062929	0.020773
500	0.062603	0.063354	0.021418
501	0.06306	0.063828	0.022143
502	0.063528	0.064316	0.022903
503	0.064081	0.064894	0.023784
504	0.064762	0.065607	0.024861
505	0.065404	0.066285	0.02594
506	0.066056	0.066958	0.027047
507	0.066821	0.067737	0.028306
508	0.067676	0.068619	0.029698
509	0.068612	0.06958	0.031202
510	0.069595	0.070579	0.032782
511	0.070634	0.07164	0.034451
512	0.071767	0.072803	0.03626
513	0.07303	0.074095	0.038228
514	0.074378	0.075469	0.040304
515	0.075791	0.076901	0.042479
516	0.077312	0.078431	0.044788
517	0.078988	0.080125	0.047286
518	0.080757	0.081911	0.049906
519	0.082555	0.083708	0.052558
520	0.084438	0.085585	0.055304
521	0.086417	0.087569	0.058174
522	0.088452	0.089608	0.061099
523	0.090511	0.091661	0.064028
524	0.092576	0.093716	0.066944
525	0.094657	0.095786	0.06986
526	0.096719	0.09783	0.07273
527	0.098762	0.099839	0.075534
528	0.10073	0.10177	0.078225
