*Name: Maple bot
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.020445	0.019516	0.0043924
371	0.027341	0.026351	0.0049955
372	0.033297	0.032525	0.0046435
373	0.039237	0.038541	0.0050087
374	0.044521	0.043821	0.005888
375	0.04841	0.047738	0.0068525
376	0.049943	0.049604	0.0069209
377	0.049486	0.049549	0.007319
378	0.046552	0.046965	0.0076617
379	0.046765	0.046726	0.0075926
380	0.046934	0.046931	0.0077296
381	0.046836	0.046751	0.0072892
382	0.046751	0.046476	0.0069663
383	0.047227	0.046994	0.0077394
384	0.047056	0.046971	0.0067436
385	0.046326	0.046439	0.0047372
386	0.04532	0.04555	0.0021458
387	0.045892	0.045985	0.0020494
388	0.046587	0.046613	0.0024745
389	0.04648	0.046578	0.0017179
390	0.046856	0.047068	0.0019879
391	0.047764	0.04791	0.0033178
392	0.048302	0.048304	0.0040243
393	0.048964	0.048782	0.0049455
394	0.049653	0.049368	0.0060035
395	0.04998	0.049605	0.0065448
396	0.050113	0.049793	0.0070379
397	0.050351	0.050262	0.0075961
398	0.050678	0.05068	0.0081587
399	0.051187	0.051178	0.0088461
400	0.05127	0.051268	0.0085137
401	0.051596	0.051731	0.0087723
402	0.051431	0.051715	0.0081043
403	0.05105	0.051392	0.0069641
404	0.051444	0.05174	0.0073174
405	0.051345	0.051671	0.0069235
406	0.051014	0.051402	0.0061048
407	0.051374	0.051722	0.0064727
408	0.051365	0.051585	0.00606
409	0.051166	0.051279	0.0054192
410	0.051197	0.051285	0.0053764
411	0.05148	0.051465	0.0056465
412	0.052072	0.051911	0.0064851
413	0.052729	0.052437	0.0074369
414	0.052947	0.052586	0.0076097
415	0.053232	0.052828	0.0079319
416	0.053633	0.053185	0.0084493
417	0.054008	0.053483	0.0089131
418	0.054329	0.053766	0.0093352
419	0.054635	0.054065	0.0097029
420	0.05489	0.054279	0.00996
421	0.055262	0.054575	0.010483
422	0.055427	0.054695	0.010666
423	0.05557	0.054842	0.01087
424	0.055755	0.055055	0.011204
425	0.055848	0.055142	0.01139
426	0.055908	0.055191	0.011505
427	0.05606	0.055337	0.011806
428	0.056268	0.05553	0.012235
429	0.056462	0.055687	0.012583
430	0.05655	0.055724	0.012704
431	0.056548	0.055656	0.012663
432	0.056685	0.055748	0.012898
433	0.056842	0.055859	0.013201
434	0.056967	0.055914	0.013436
435	0.057078	0.055982	0.013623
436	0.057233	0.056125	0.013907
437	0.057425	0.056304	0.014266
438	0.057547	0.056419	0.014498
439	0.057671	0.056553	0.014735
440	0.057795	0.056682	0.014978
441	0.057923	0.056793	0.0153
442	0.057997	0.056842	0.01556
443	0.058032	0.056871	0.015796
444	0.057987	0.056822	0.015902
445	0.057955	0.056788	0.016035
446	0.057935	0.05677	0.016202
447	0.057987	0.056808	0.016474
448	0.058092	0.056898	0.016845
449	0.058166	0.056964	0.017203
450	0.058217	0.057016	0.017541
451	0.058308	0.05709	0.017976
452	0.058488	0.057263	0.018589
453	0.058717	0.057492	0.019276
454	0.058864	0.057646	0.01987
455	0.05893	0.057723	0.020363
456	0.058979	0.057782	0.020786
457	0.059084	0.057902	0.021281
458	0.059122	0.057934	0.021583
459	0.059115	0.057917	0.021755
460	0.059149	0.057911	0.021928
461	0.059172	0.057897	0.022059
462	0.059116	0.057824	0.022079
463	0.059083	0.05776	0.022134
464	0.059011	0.05768	0.02214
465	0.058964	0.057628	0.022214
466	0.058966	0.057634	0.022346
467	0.059028	0.057719	0.02255
468	0.059044	0.057754	0.022708
469	0.059044	0.057742	0.022803
470	0.059043	0.057718	0.022846
471	0.059096	0.057754	0.023001
472	0.059107	0.05775	0.023074
473	0.059108	0.05772	0.02312
474	0.059084	0.057672	0.023115
475	0.059036	0.057638	0.023116
476	0.059077	0.057691	0.023307
477	0.05914	0.057744	0.023516
478	0.059109	0.057729	0.023593
479	0.059072	0.057715	0.023672
480	0.059086	0.057756	0.023811
481	0.059119	0.057812	0.023986
482	0.059102	0.057792	0.024095
483	0.059041	0.057722	0.024155
484	0.059027	0.057702	0.024251
485	0.059075	0.05774	0.024449
486	0.059103	0.057759	0.024635
487	0.059153	0.057792	0.024856
488	0.059181	0.057806	0.025027
489	0.059256	0.057853	0.025286
490	0.059466	0.058037	0.025796
491	0.059628	0.058169	0.026226
492	0.059739	0.058259	0.026636
493	0.05987	0.058387	0.027123
494	0.060059	0.058574	0.027747
495	0.060276	0.058789	0.028497
496	0.060516	0.059046	0.02937
497	0.060759	0.059308	0.030296
498	0.061061	0.059615	0.031329
499	0.061391	0.059944	0.03247
500	0.061742	0.060284	0.033727
501	0.062157	0.060684	0.035158
