*Name: Maple mid
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.021877	0.022752	0.0049003
371	0.029292	0.030102	0.005134
372	0.035964	0.036523	0.004327
373	0.04255	0.042844	0.0048018
374	0.04838	0.048325	0.0059328
375	0.052719	0.05223	0.0069891
376	0.054716	0.054007	0.0070667
377	0.054693	0.05383	0.0076517
378	0.051924	0.050878	0.0081079
379	0.052329	0.05115	0.0088104
380	0.052018	0.05119	0.0082614
381	0.051757	0.05133	0.0079375
382	0.051751	0.051643	0.0079529
383	0.052176	0.052197	0.0084432
384	0.051747	0.051958	0.0072841
385	0.050875	0.051174	0.0053664
386	0.050061	0.050212	0.0034575
387	0.050637	0.050745	0.0044393
388	0.051312	0.051332	0.0055731
389	0.051299	0.051201	0.0052537
390	0.051868	0.051879	0.0060408
391	0.052877	0.052883	0.0076253
392	0.05322	0.05308	0.0077802
393	0.053407	0.053052	0.0076445
394	0.053792	0.053284	0.0080043
395	0.053955	0.05336	0.0078339
396	0.054031	0.05343	0.0075641
397	0.054045	0.053563	0.007459
398	0.054193	0.0539	0.0077039
399	0.054715	0.054573	0.0083906
400	0.054791	0.054704	0.0079696
401	0.05492	0.055032	0.0077677
402	0.05458	0.054871	0.0066364
403	0.054139	0.054475	0.0052146
404	0.054443	0.054806	0.0051979
405	0.054248	0.054563	0.0041172
406	0.053861	0.054104	0.0026407
407	0.054266	0.054418	0.0026485
408	0.054354	0.054406	0.0018879
409	0.054299	0.054289	0.00099566
410	0.054538	0.054529	0.0008663
411	0.054956	0.055019	0.0012928
412	0.055728	0.055861	0.0023517
413	0.056549	0.056765	0.0034994
414	0.056718	0.056992	0.0034502
415	0.057002	0.057347	0.0035696
416	0.057513	0.057884	0.0040492
417	0.058025	0.058335	0.0043973
418	0.058479	0.058709	0.0045806
419	0.058959	0.05912	0.0048476
420	0.059419	0.059538	0.0051339
421	0.060004	0.060079	0.0056261
422	0.060353	0.060414	0.0057147
423	0.060685	0.060755	0.0058406
424	0.061118	0.061186	0.0061168
425	0.061448	0.061511	0.006287
426	0.061712	0.06179	0.0064245
427	0.062048	0.062129	0.0067213
428	0.062419	0.062471	0.00709
429	0.06281	0.062828	0.0075692
430	0.063088	0.063048	0.0078862
431	0.063226	0.063146	0.0079731
432	0.063538	0.063429	0.0084816
433	0.063891	0.063759	0.0091488
434	0.064178	0.064023	0.0096967
435	0.064417	0.064245	0.010119
436	0.064691	0.064509	0.01063
437	0.064969	0.064771	0.011198
438	0.0652	0.064956	0.01161
439	0.065428	0.06513	0.011969
440	0.065582	0.065252	0.01219
441	0.065713	0.065351	0.012376
442	0.065787	0.065426	0.012532
443	0.065834	0.065498	0.012682
444	0.065792	0.065476	0.012638
445	0.065801	0.065526	0.012686
446	0.065863	0.065624	0.012839
447	0.066009	0.065795	0.013155
448	0.066193	0.065991	0.013544
449	0.066345	0.066152	0.013888
450	0.066484	0.066296	0.01419
451	0.06664	0.066459	0.014561
452	0.066901	0.066721	0.015123
453	0.067173	0.066994	0.015708
454	0.067301	0.067155	0.016066
455	0.067338	0.067231	0.016293
456	0.067353	0.067291	0.016503
457	0.067455	0.067432	0.016871
458	0.067491	0.067479	0.017062
459	0.067492	0.067465	0.017156
460	0.067545	0.067493	0.017332
461	0.067594	0.067534	0.017525
462	0.067566	0.067505	0.017607
463	0.067553	0.067488	0.017711
464	0.067518	0.067457	0.017793
465	0.067502	0.067453	0.017944
466	0.067524	0.067477	0.018132
467	0.067631	0.06757	0.01846
468	0.067698	0.067632	0.01873
469	0.067709	0.06764	0.018923
470	0.06765	0.067586	0.018979
471	0.067673	0.067603	0.019157
472	0.067675	0.067587	0.019254
473	0.067673	0.067572	0.019332
474	0.067645	0.067547	0.01939
475	0.067604	0.06752	0.019446
476	0.067662	0.067583	0.019665
477	0.067723	0.067664	0.019909
478	0.067682	0.06765	0.01999
479	0.067619	0.067604	0.019999
480	0.067615	0.067625	0.02008
481	0.067652	0.067678	0.020261
482	0.067615	0.067649	0.020318
483	0.067513	0.067571	0.020244
484	0.067454	0.067523	0.020221
485	0.067509	0.067572	0.020403
