*Name: Maple top
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.025374	0.025419	0.0035631
371	0.033769	0.034064	0.0038627
372	0.041328	0.041601	0.0030418
373	0.048821	0.049262	0.0032066
374	0.055369	0.055976	0.0039517
375	0.0601	0.06073	0.0047312
376	0.062291	0.062882	0.0047843
377	0.062123	0.062543	0.0056086
378	0.058723	0.058883	0.0064998
379	0.05887	0.058714	0.0064028
380	0.058568	0.05822	0.0052708
381	0.058295	0.05794	0.0045025
382	0.058225	0.057868	0.0045326
383	0.058764	0.058037	0.0054527
384	0.058369	0.057666	0.0047658
385	0.057574	0.056771	0.0032812
386	0.056705	0.055625	0.0015426
387	0.057411	0.0564	0.0025572
388	0.058175	0.057125	0.0038924
389	0.058167	0.056937	0.0039113
390	0.058941	0.057577	0.0049608
391	0.060069	0.058485	0.0067762
392	0.06038	0.058571	0.0070978
393	0.060558	0.058634	0.0068706
394	0.060952	0.059061	0.0071333
395	0.060956	0.059274	0.007073
396	0.060829	0.059347	0.0068823
397	0.060958	0.059451	0.0067139
398	0.061352	0.0598	0.00693
399	0.062021	0.060468	0.0075855
400	0.06205	0.060474	0.0069908
401	0.062225	0.060665	0.0067392
402	0.061841	0.060288	0.0055716
403	0.061314	0.059701	0.0040498
404	0.061625	0.059978	0.0038386
405	0.061378	0.059655	0.0027267
406	0.060912	0.059141	0.001357
407	0.061285	0.0595	0.001538
408	0.061197	0.059467	0.0010537
409	0.060949	0.05925	0.00025719
410	0.061141	0.059408	5.1152e-05
411	0.06167	0.059905	0.00039583
412	0.062585	0.06082	0.0013813
413	0.063621	0.061828	0.0023874
414	0.06399	0.062106	0.0021734
415	0.064418	0.062501	0.0021848
416	0.065079	0.063153	0.0025664
417	0.065663	0.063737	0.0029295
