*Name: Norway Spruce bot
Type: Needle Spectrum

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere
             Spectra were measured and corrected following the method of Mesarch, et al. 1999

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.053352	0.053352	0.0093078
371	0.053264	0.053264	0.0088787
372	0.053912	0.053912	0.0074459
373	0.049911	0.049911	0.0084165
374	0.047586	0.047586	0.010026
375	0.048162	0.048162	0.010409
376	0.048435	0.048435	0.0087579
377	0.048332	0.048332	0.0074576
378	0.048741	0.048741	0.0073346
379	0.049153	0.049153	0.0068592
380	0.049289	0.049289	0.0058432
381	0.048809	0.048809	0.0050389
382	0.047804	0.047804	0.0042962
383	0.046165	0.046165	0.0030922
384	0.044386	0.044386	0.0021308
385	0.04379	0.04379	0.0014421
386	0.043475	0.043475	0.0011909
387	0.042969	0.042969	0.00089853
388	0.042661	0.042661	0.00036758
389	0.042634	0.042634	0.00026936
390	0.041739	0.041739	0.0004311
391	0.041228	0.041228	0.00068371
392	0.041607	0.041607	0.0010335
393	0.041819	0.041819	0.0008311
394	0.04134	0.04134	0.000558
395	0.04096	0.04096	0.0003596
396	0.041121	0.041121	0.0005868
397	0.040913	0.040913	0.0002039
398	0.040528	0.040528	0.00016559
399	0.040245	0.040245	0.00015987
400	0.040053	0.040053	0.00015004
401	0.039598	0.039598	0.00014352
402	0.03933	0.03933	0.00013901
403	0.039774	0.039774	0.00013258
404	0.039688	0.039688	0.0001276
405	0.03954	0.03954	0.00012475
406	0.039696	0.039696	0.00012057
407	0.04003	0.04003	0.00012052
408	0.040235	0.040235	0.00012483
409	0.040367	0.040367	0.00012925
410	0.040711	0.040711	0.00013406
411	0.040879	0.040879	0.00014151
412	0.040913	0.040913	0.00022757
413	0.040945	0.040945	0.00047623
414	0.040846	0.040846	0.00083748
415	0.040806	0.040806	0.0013207
416	0.040758	0.040758	0.0018917
417	0.040885	0.040885	0.0022528
418	0.041122	0.041122	0.0024865
419	0.041333	0.041333	0.002602
420	0.041532	0.041532	0.0028472
421	0.041669	0.041669	0.0030682
422	0.041829	0.041829	0.0033419
423	0.042022	0.042022	0.003759
424	0.042263	0.042263	0.0041194
425	0.042477	0.042477	0.004426
426	0.042731	0.042731	0.0046508
427	0.04293	0.04293	0.0048286
428	0.043018	0.043018	0.0049254
429	0.043015	0.043015	0.0049967
430	0.043006	0.043006	0.0050853
431	0.043064	0.043064	0.0051683
432	0.043129	0.043129	0.0051595
433	0.043191	0.043191	0.005206
434	0.043191	0.043191	0.005353
435	0.04333	0.04333	0.0055243
436	0.043457	0.043457	0.0056467
437	0.043512	0.043512	0.0056395
438	0.043604	0.043604	0.0057035
439	0.043699	0.043699	0.0058128
440	0.043805	0.043805	0.0059532
441	0.043904	0.043904	0.006128
442	0.044057	0.044057	0.0062782
443	0.044226	0.044226	0.0063493
444	0.044426	0.044426	0.0063837
445	0.044541	0.044541	0.0064439
446	0.044645	0.044645	0.006576
447	0.044787	0.044787	0.006708
448	0.044962	0.044962	0.0068151
449	0.045017	0.045017	0.0069994
450	0.045093	0.045093	0.0071506
451	0.045257	0.045257	0.0072759
452	0.045404	0.045404	0.0074413
453	0.045492	0.045492	0.0075422
454	0.045481	0.045481	0.0075896
455	0.0455	0.0455	0.0076358
456	0.045495	0.045495	0.0077551
457	0.045469	0.045469	0.0078873
458	0.045485	0.045485	0.0080231
459	0.045564	0.045564	0.0081675
460	0.045652	0.045652	0.0082364
461	0.045658	0.045658	0.0082568
462	0.045601	0.045601	0.0083379
463	0.0456	0.0456	0.0084258
464	0.045665	0.045665	0.0085146
465	0.045733	0.045733	0.0084638
466	0.045712	0.045712	0.0084492
467	0.045652	0.045652	0.0084488
468	0.045704	0.045704	0.0084534
469	0.045736	0.045736	0.0084365
470	0.045676	0.045676	0.0084816
471	0.045586	0.045586	0.0084579
472	0.045503	0.045503	0.0083949
473	0.045443	0.045443	0.0083201
474	0.045363	0.045363	0.0082776
475	0.045283	0.045283	0.0082632
476	0.045259	0.045259	0.0082458
477	0.045255	0.045255	0.0082169
478	0.045222	0.045222	0.008189
479	0.045185	0.045185	0.0082154
480	0.045167	0.045167	0.0082595
481	0.045244	0.045244	0.0082912
482	0.045373	0.045373	0.0083141
483	0.045474	0.045474	0.0082371
484	0.045523	0.045523	0.0082423
485	0.045609	0.045609	0.0082489
486	0.045701	0.045701	0.0083227
487	0.045767	0.045767	0.0083835
488	0.045816	0.045816	0.0084257
489	0.045905	0.045905	0.008514
490	0.046053	0.046053	0.0085612
491	0.046238	0.046238	0.0086793
492	0.046426	0.046426	0.0088153
493	0.046639	0.046639	0.0090348
494	0.046926	0.046926	0.00924
495	0.047235	0.047235	0.0093623
496	0.047541	0.047541	0.0096248
497	0.047841	0.047841	0.0099145
498	0.048139	0.048139	0.010209
499	0.048488	0.048488	0.010511
500	0.048888	0.048888	0.010791
501	0.049291	0.049291	0.011039
502	0.04974	0.04974	0.011369
503	0.050239	0.050239	0.011765
504	0.050789	0.050789	0.012176
505	0.051397	0.051397	0.012663
506	0.052139	0.052139	0.013203
507	0.053029	0.053029	0.013852
508	0.054037	0.054037	0.014521
509	0.055146	0.055146	0.015303
510	0.056376	0.056376	0.016146
511	0.057719	0.057719	0.017135
512	0.05915	0.05915	0.01815
513	0.060731	0.060731	0.019185
514	0.062416	0.062416	0.020385
515	0.064169	0.064169	0.021594
516	0.066019	0.066019	0.022846
517	0.067973	0.067973	0.024191
518	0.07	0.07	0.025596
519	0.072031	0.072031	0.027032
520	0.07408	0.07408	0.028502
521	0.076135	0.076135	0.029983
522	0.078179	0.078179	0.031445
523	0.080184	0.080184	0.032909
524	0.082133	0.082133	0.0343
525	0.083964	0.083964	0.035643
526	0.085688	0.085688	0.036941
527	0.087261	0.087261	0.038239
528	0.088682	0.088682	0.039453
529	0.089965	0.089965	0.040563
530	0.091122	0.091122	0.041556
531	0.092199	0.092199	0.042428
532	0.093113	0.093113	0.043205
533	0.093907	0.093907	0.043911
534	0.094634	0.094634	0.044551
535	0.095284	0.095284	0.045116
536	0.095842	0.095842	0.045608
537	0.096288	0.096288	0.046022
538	0.096681	0.096681	0.046391
539	0.097058	0.097058	0.046727
540	0.097416	0.097416	0.047027
541	0.097761	0.097761	0.047288
542	0.09809	0.09809	0.047533
543	0.098427	0.098427	0.047798
544	0.098776	0.098776	0.048086
545	0.099093	0.099093	0.048404
546	0.099417	0.099417	0.048646
547	0.099739	0.099739	0.048883
548	0.10003	0.10003	0.049117
549	0.10029	0.10029	0.049342
550	0.1005	0.1005	0.049552
551	0.10066	0.10066	0.049741
552	0.10075	0.10075	0.049895
553	0.10075	0.10075	0.049942
554	0.10063	0.10063	0.049925
555	0.1004	0.1004	0.049836
556	0.10004	0.10004	0.049675
557	0.099576	0.099576	0.049386
558	0.098984	0.098984	0.049021
559	0.098298	0.098298	0.048582
560	0.097511	0.097511	0.048064
561	0.096634	0.096634	0.047468
562	0.095659	0.095659	0.046829
563	0.094602	0.094602	0.046068
564	0.093473	0.093473	0.045222
565	0.092262	0.092262	0.044364
566	0.090996	0.090996	0.043472
567	0.08971	0.08971	0.042531
568	0.08837	0.08837	0.041594
569	0.087002	0.087002	0.040665
570	0.085644	0.085644	0.039772
571	0.084308	0.084308	0.038854
572	0.082994	0.082994	0.037976
573	0.081728	0.081728	0.037121
574	0.080486	0.080486	0.03629
575	0.079328	0.079328	0.035495
576	0.078251	0.078251	0.034762
577	0.077263	0.077263	0.034084
578	0.076339	0.076339	0.033461
579	0.07547	0.07547	0.032919
580	0.07466	0.07466	0.03242
581	0.073903	0.073903	0.03189
582	0.073203	0.073203	0.03142
583	0.072565	0.072565	0.030984
584	0.07198	0.07198	0.030567
585	0.071399	0.071399	0.030174
586	0.070843	0.070843	0.029842
587	0.070324	0.070324	0.029544
588	0.069826	0.069826	0.029293
589	0.069376	0.069376	0.02902
590	0.068944	0.068944	0.028747
591	0.068524	0.068524	0.028489
592	0.068153	0.068153	0.028274
593	0.067836	0.067836	0.028044
594	0.06754	0.06754	0.027811
595	0.067264	0.067264	0.027614
596	0.067015	0.067015	0.027422
597	0.066763	0.066763	0.027296
598	0.066497	0.066497	0.027139
599	0.066248	0.066248	0.026991
600	0.066026	0.066026	0.026856
601	0.065795	0.065795	0.02671
602	0.06551	0.06551	0.026524
603	0.065181	0.065181	0.026315
604	0.064875	0.064875	0.026101
605	0.064527	0.064527	0.025854
606	0.064124	0.064124	0.025581
607	0.063687	0.063687	0.025334
608	0.063217	0.063217	0.025063
609	0.062728	0.062728	0.024783
610	0.062251	0.062251	0.024489
611	0.061756	0.061756	0.024133
612	0.061241	0.061241	0.023799
613	0.060729	0.060729	0.023455
614	0.060234	0.060234	0.023086
615	0.059755	0.059755	0.022806
616	0.05929	0.05929	0.022567
617	0.058867	0.058867	0.02234
618	0.058469	0.058469	0.022155
619	0.058101	0.058101	0.022002
620	0.057778	0.057778	0.021831
621	0.057517	0.057517	0.021689
622	0.057317	0.057317	0.021566
623	0.057136	0.057136	0.021446
624	0.056987	0.056987	0.021375
625	0.056884	0.056884	0.021376
626	0.056836	0.056836	0.021347
627	0.056811	0.056811	0.021323
628	0.056775	0.056775	0.021281
629	0.056704	0.056704	0.02123
630	0.056612	0.056612	0.02115
631	0.056519	0.056519	0.02105
632	0.056395	0.056395	0.020925
633	0.05621	0.05621	0.020844
634	0.055937	0.055937	0.020739
635	0.055622	0.055622	0.02055
636	0.055263	0.055263	0.020312
637	0.054845	0.054845	0.020054
638	0.054395	0.054395	0.019718
639	0.053887	0.053887	0.019349
640	0.05334	0.05334	0.018945
641	0.052763	0.052763	0.018522
642	0.052172	0.052172	0.018102
643	0.051597	0.051597	0.017657
644	0.051044	0.051044	0.01722
645	0.050491	0.050491	0.016808
646	0.049953	0.049953	0.016461
647	0.049466	0.049466	0.016179
648	0.049045	0.049045	0.015861
649	0.048683	0.048683	0.015648
650	0.048351	0.048351	0.015467
651	0.048018	0.048018	0.015294
652	0.047711	0.047711	0.015115
653	0.047456	0.047456	0.014923
654	0.047225	0.047225	0.014718
655	0.046988	0.046988	0.01451
656	0.046752	0.046752	0.014303
657	0.046481	0.046481	0.014078
658	0.046176	0.046176	0.013796
659	0.045862	0.045862	0.013522
660	0.04556	0.04556	0.013201
661	0.045242	0.045242	0.0129
662	0.044923	0.044923	0.012621
663	0.044602	0.044602	0.01236
664	0.044311	0.044311	0.012096
665	0.044054	0.044054	0.011817
666	0.043824	0.043824	0.011496
667	0.043614	0.043614	0.011328
668	0.043444	0.043444	0.011156
669	0.043296	0.043296	0.011055
670	0.043209	0.043209	0.010987
671	0.043144	0.043144	0.010943
672	0.043137	0.043137	0.010922
673	0.043184	0.043184	0.010924
674	0.043252	0.043252	0.010995
675	0.043362	0.043362	0.011047
676	0.043509	0.043509	0.01109
677	0.043693	0.043693	0.011173
678	0.043906	0.043906	0.011254
679	0.044131	0.044131	0.011401
680	0.044414	0.044414	0.01154
681	0.044751	0.044751	0.011699
682	0.045158	0.045158	0.011857
683	0.045651	0.045651	0.012163
684	0.046278	0.046278	0.012536
685	0.047055	0.047055	0.013133
686	0.048057	0.048057	0.013852
687	0.049314	0.049314	0.014831
688	0.050881	0.050881	0.016038
689	0.052796	0.052796	0.017582
690	0.055158	0.055158	0.019474
691	0.058006	0.058006	0.02174
692	0.061361	0.061361	0.024381
693	0.065261	0.065261	0.027452
694	0.069684	0.069684	0.030976
695	0.074629	0.074629	0.03501
696	0.080115	0.080115	0.039505
697	0.08609	0.08609	0.044465
698	0.092514	0.092514	0.049897
699	0.099351	0.099351	0.05572
700	0.10655	0.10655	0.061879
701	0.11407	0.11407	0.068406
702	0.12184	0.12184	0.07512
703	0.12981	0.12981	0.082119
704	0.13792	0.13792	0.089325
705	0.14617	0.14617	0.096736
706	0.1545	0.1545	0.1043
707	0.16293	0.16293	0.11196
708	0.17143	0.17143	0.11972
709	0.18	0.18	0.1276
710	0.18865	0.18865	0.13556
711	0.19736	0.19736	0.14364
712	0.20613	0.20613	0.15181
713	0.21497	0.21497	0.16007
714	0.22385	0.22385	0.16839
715	0.23277	0.23277	0.17679
716	0.24169	0.24169	0.18529
717	0.25065	0.25065	0.19377
718	0.25958	0.25958	0.20227
719	0.26843	0.26843	0.21078
720	0.27724	0.27724	0.21919
721	0.28591	0.28591	0.22759
722	0.29443	0.29443	0.23593
723	0.30283	0.30283	0.24405
724	0.31106	0.31106	0.25197
725	0.31908	0.31908	0.25965
726	0.32686	0.32686	0.26716
727	0.33435	0.33435	0.27442
728	0.3416	0.3416	0.28139
729	0.34856	0.34856	0.28808
730	0.35521	0.35521	0.29447
731	0.36155	0.36155	0.30055
732	0.36758	0.36758	0.3063
733	0.37329	0.37329	0.31177
734	0.37867	0.37867	0.31697
735	0.38369	0.38369	0.32192
736	0.38837	0.38837	0.32659
737	0.39273	0.39273	0.33101
738	0.39679	0.39679	0.33517
739	0.40055	0.40055	0.3391
740	0.40407	0.40407	0.34273
741	0.4074	0.4074	0.34603
742	0.41047	0.41047	0.34912
743	0.41329	0.41329	0.35199
744	0.41589	0.41589	0.35462
745	0.41823	0.41823	0.35708
746	0.42039	0.42039	0.35936
747	0.42234	0.42234	0.36148
748	0.42413	0.42413	0.36341
749	0.42578	0.42578	0.36513
750	0.4273	0.4273	0.36667
751	0.42867	0.42867	0.3681
752	0.42993	0.42993	0.3694
753	0.43107	0.43107	0.37058
754	0.43207	0.43207	0.37167
755	0.43296	0.43296	0.37268
756	0.43377	0.43377	0.37356
757	0.43454	0.43454	0.37433
758	0.43524	0.43524	0.37503
759	0.43585	0.43585	0.3757
760	0.43635	0.43635	0.37633
761	0.43681	0.43681	0.37692
762	0.43721	0.43721	0.37745
763	0.43756	0.43756	0.37795
764	0.43787	0.43787	0.37842
765	0.43809	0.43809	0.3789
766	0.43831	0.43831	0.3793
767	0.4385	0.4385	0.37965
768	0.43868	0.43868	0.37995
769	0.43886	0.43886	0.38024
770	0.43904	0.43904	0.3805
771	0.43921	0.43921	0.38074
772	0.43932	0.43932	0.38099
773	0.43944	0.43944	0.38119
774	0.43956	0.43956	0.38136
775	0.4397	0.4397	0.38153
776	0.43978	0.43978	0.38176
777	0.43985	0.43985	0.38199
778	0.43992	0.43992	0.3822
779	0.44005	0.44005	0.38237
780	0.44015	0.44015	0.38253
781	0.44025	0.44025	0.38269
782	0.44029	0.44029	0.3829
783	0.44031	0.44031	0.38313
784	0.44028	0.44028	0.38337
785	0.44027	0.44027	0.38358
786	0.44028	0.44028	0.38378
787	0.44031	0.44031	0.38398
788	0.44038	0.44038	0.38414
789	0.4404	0.4404	0.38433
790	0.44046	0.44046	0.38447
791	0.44051	0.44051	0.38462
792	0.44054	0.44054	0.38478
793	0.44059	0.44059	0.38492
794	0.44063	0.44063	0.38506
795	0.44071	0.44071	0.3852
796	0.44078	0.44078	0.38533
797	0.44087	0.44087	0.38545
798	0.44091	0.44091	0.38559
799	0.44091	0.44091	0.38578
800	0.44094	0.44094	0.38595
801	0.44091	0.44091	0.38617
802	0.44087	0.44087	0.38638
803	0.4409	0.4409	0.38653
804	0.44095	0.44095	0.38668
805	0.44103	0.44103	0.38684
806	0.44111	0.44111	0.38699
807	0.44119	0.44119	0.38713
808	0.44126	0.44126	0.38727
809	0.44132	0.44132	0.38741
810	0.44137	0.44137	0.38756
811	0.44145	0.44145	0.38767
812	0.44152	0.44152	0.38781
813	0.44158	0.44158	0.38797
814	0.44162	0.44162	0.38811
815	0.44164	0.44164	0.38827
816	0.44169	0.44169	0.38841
817	0.4417	0.4417	0.3886
818	0.44178	0.44178	0.38869
819	0.44183	0.44183	0.38882
820	0.44192	0.44192	0.38892
821	0.44201	0.44201	0.38901
822	0.44209	0.44209	0.38911
823	0.44218	0.44218	0.38922
824	0.44226	0.44226	0.38931
825	0.44235	0.44235	0.38939
826	0.44243	0.44243	0.38949
827	0.44249	0.44249	0.38961
828	0.44249	0.44249	0.38981
829	0.4425	0.4425	0.38998
830	0.44252	0.44252	0.39015
831	0.44256	0.44256	0.39029
832	0.44261	0.44261	0.39043
833	0.44269	0.44269	0.39058
834	0.44279	0.44279	0.39072
835	0.44281	0.44281	0.39092
836	0.44288	0.44288	0.39106
837	0.4429	0.4429	0.39127
838	0.44297	0.44297	0.39142
839	0.44301	0.44301	0.39159
840	0.44306	0.44306	0.39175
841	0.44315	0.44315	0.39188
842	0.44323	0.44323	0.39204
843	0.4433	0.4433	0.39223
844	0.44345	0.44345	0.39237
845	0.44345	0.44345	0.39264
