*Name: Norway Spruce mid
Type: Needle Spectrum

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere
             Spectra were measured and corrected following the method of Mesarch, et al. 1999

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.056986	0.056986	0.011176
371	0.054071	0.054071	0.010902
372	0.054042	0.054042	0.0099598
373	0.05057	0.05057	0.011061
374	0.049196	0.049196	0.012212
375	0.050594	0.050594	0.012831
376	0.051213	0.051213	0.013908
377	0.051374	0.051374	0.014918
378	0.051478	0.051478	0.015442
379	0.050738	0.050738	0.015101
380	0.050058	0.050058	0.014979
381	0.049396	0.049396	0.01488
382	0.048754	0.048754	0.013986
383	0.047385	0.047385	0.012328
384	0.045641	0.045641	0.01122
385	0.045001	0.045001	0.010817
386	0.045256	0.045256	0.010915
387	0.045133	0.045133	0.010845
388	0.045273	0.045273	0.010549
389	0.045656	0.045656	0.010603
390	0.04526	0.04526	0.010882
391	0.044943	0.044943	0.010784
392	0.045296	0.045296	0.010327
393	0.045259	0.045259	0.0098284
394	0.044528	0.044528	0.0095641
395	0.043754	0.043754	0.0093072
396	0.043179	0.043179	0.0091464
397	0.042196	0.042196	0.0091254
398	0.041292	0.041292	0.0093179
399	0.040648	0.040648	0.0093329
400	0.040205	0.040205	0.008949
401	0.039595	0.039595	0.0087655
402	0.039149	0.039149	0.0087954
403	0.039495	0.039495	0.0088386
404	0.039589	0.039589	0.0088432
405	0.039713	0.039713	0.0088647
406	0.040136	0.040136	0.0087868
407	0.040527	0.040527	0.008976
408	0.040826	0.040826	0.0091647
409	0.041081	0.041081	0.0092084
410	0.041551	0.041551	0.0092923
411	0.041645	0.041645	0.0094352
412	0.041675	0.041675	0.0096645
413	0.04178	0.04178	0.009833
414	0.04178	0.04178	0.010066
415	0.041847	0.041847	0.010356
416	0.041987	0.041987	0.010704
417	0.042185	0.042185	0.010908
418	0.042468	0.042468	0.01114
419	0.042766	0.042766	0.011348
420	0.043007	0.043007	0.011552
421	0.043265	0.043265	0.011756
422	0.043595	0.043595	0.012046
423	0.043911	0.043911	0.012388
424	0.044315	0.044315	0.012554
425	0.044738	0.044738	0.012708
426	0.045189	0.045189	0.012884
427	0.045542	0.045542	0.012985
428	0.045799	0.045799	0.013068
429	0.046041	0.046041	0.01324
430	0.046303	0.046303	0.013412
431	0.046468	0.046468	0.013502
432	0.046575	0.046575	0.013533
433	0.046657	0.046657	0.013624
434	0.046715	0.046715	0.013802
435	0.046826	0.046826	0.013985
436	0.046891	0.046891	0.014115
437	0.046899	0.046899	0.014156
438	0.0469	0.0469	0.014233
439	0.047015	0.047015	0.014339
440	0.04721	0.04721	0.014468
441	0.047377	0.047377	0.01455
442	0.047593	0.047593	0.014586
443	0.047864	0.047864	0.014613
444	0.048187	0.048187	0.01467
445	0.048471	0.048471	0.014727
446	0.048748	0.048748	0.014865
447	0.049046	0.049046	0.015031
448	0.049311	0.049311	0.015095
449	0.04945	0.04945	0.015234
450	0.049594	0.049594	0.015371
451	0.04979	0.04979	0.015466
452	0.049984	0.049984	0.015593
453	0.050155	0.050155	0.015678
454	0.050238	0.050238	0.01573
455	0.050306	0.050306	0.015797
456	0.050415	0.050415	0.015883
457	0.050552	0.050552	0.015963
458	0.05064	0.05064	0.016056
459	0.050775	0.050775	0.016148
460	0.050881	0.050881	0.016212
461	0.050921	0.050921	0.016301
462	0.050926	0.050926	0.016446
463	0.050976	0.050976	0.016571
464	0.051049	0.051049	0.016682
465	0.0511	0.0511	0.016635
466	0.051068	0.051068	0.016638
467	0.050986	0.050986	0.016661
468	0.050983	0.050983	0.016644
469	0.050987	0.050987	0.016567
470	0.05096	0.05096	0.01653
471	0.050929	0.050929	0.016464
472	0.050883	0.050883	0.01642
473	0.05083	0.05083	0.016361
474	0.050798	0.050798	0.016273
