*Name: Norway Spruce top
Type: Needle Spectrum

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere
             Spectra were measured and corrected following the method of Mesarch, et al. 1999

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.060109	0.060109	0.018461
371	0.057979	0.057979	0.017915
372	0.057218	0.057218	0.015801
373	0.053962	0.053962	0.017444
374	0.05268	0.05268	0.018627
375	0.053619	0.053619	0.018291
376	0.054224	0.054224	0.018581
377	0.05492	0.05492	0.018864
378	0.054988	0.054988	0.019043
379	0.05422	0.05422	0.01913
380	0.054054	0.054054	0.019644
381	0.053418	0.053418	0.019842
382	0.052104	0.052104	0.019016
383	0.05082	0.05082	0.017733
384	0.049039	0.049039	0.016709
385	0.047719	0.047719	0.016025
386	0.04691	0.04691	0.015964
387	0.046178	0.046178	0.015744
388	0.04587	0.04587	0.015236
389	0.045999	0.045999	0.01498
390	0.045763	0.045763	0.015252
391	0.045589	0.045589	0.015359
392	0.045779	0.045779	0.01507
393	0.045702	0.045702	0.014669
394	0.045498	0.045498	0.01447
395	0.045081	0.045081	0.014296
396	0.044473	0.044473	0.014189
397	0.044044	0.044044	0.014159
398	0.043654	0.043654	0.01416
399	0.043228	0.043228	0.013906
400	0.042778	0.042778	0.013362
401	0.042079	0.042079	0.012995
402	0.041544	0.041544	0.012803
403	0.041506	0.041506	0.012501
404	0.041292	0.041292	0.01222
405	0.041241	0.041241	0.012022
406	0.041491	0.041491	0.011776
407	0.04184	0.04184	0.01181
408	0.042076	0.042076	0.011911
409	0.042296	0.042296	0.011996
410	0.042687	0.042687	0.012061
411	0.042896	0.042896	0.01222
412	0.042931	0.042931	0.012483
413	0.042988	0.042988	0.012714
414	0.043174	0.043174	0.012976
415	0.043415	0.043415	0.013363
416	0.043596	0.043596	0.013792
417	0.043761	0.043761	0.014091
418	0.043976	0.043976	0.014341
419	0.044272	0.044272	0.014452
420	0.044616	0.044616	0.014574
421	0.044865	0.044865	0.0147
422	0.045133	0.045133	0.014901
423	0.045428	0.045428	0.015205
424	0.045741	0.045741	0.015361
425	0.046118	0.046118	0.015515
426	0.046544	0.046544	0.015679
427	0.046942	0.046942	0.015832
428	0.047205	0.047205	0.015924
429	0.047399	0.047399	0.01605
430	0.047573	0.047573	0.016227
431	0.047817	0.047817	0.016415
432	0.048041	0.048041	0.016516
433	0.048233	0.048233	0.016695
434	0.048397	0.048397	0.016895
435	0.048655	0.048655	0.017102
436	0.048903	0.048903	0.017295
437	0.049133	0.049133	0.017371
438	0.049329	0.049329	0.017538
439	0.049572	0.049572	0.017713
440	0.049805	0.049805	0.017866
441	0.049992	0.049992	0.017998
442	0.050226	0.050226	0.018124
443	0.050522	0.050522	0.018214
444	0.050801	0.050801	0.018289
445	0.051009	0.051009	0.018371
446	0.051257	0.051257	0.018501
447	0.05157	0.05157	0.018632
448	0.051874	0.051874	0.018701
449	0.052033	0.052033	0.018838
450	0.05217	0.05217	0.018947
451	0.052378	0.052378	0.019059
452	0.052626	0.052626	0.019199
453	0.052837	0.052837	0.019288
454	0.052942	0.052942	0.019353
455	0.053043	0.053043	0.019389
456	0.053143	0.053143	0.019492
457	0.053248	0.053248	0.019567
458	0.05329	0.05329	0.019632
459	0.053357	0.053357	0.019709
460	0.053413	0.053413	0.019772
461	0.053452	0.053452	0.019817
462	0.053497	0.053497	0.019906
463	0.053554	0.053554	0.019994
464	0.053657	0.053657	0.020083
465	0.053732	0.053732	0.020043
466	0.053739	0.053739	0.02006
